Company,Valuation($B),Date Joined,Country,Industry,Select Investors
100credit,$1 ,4/18/2018,China,Fintech,"Sequoia Capital China, China Reform Fund, Hillhouse Capital Management"
17zuoye,$1 ,3/7/2018,China,Edtech,"DST Global, Temasek Holdings"
23andMe,$2.50 ,7/3/2015,United States,Health,"Google Ventures, New Enterprise Associates, MPM Capital"
4Paradigm,$2 ,12/19/2018,China,Artificial intelligence,"Sequoia Capital China, China Construction Bank, Bank of China"
58 Daojia,$1 ,10/12/2015,China,Internet software & services,"KKR, Alibaba Group, Ping An Insurance"
About You,$1 ,7/19/2018,Germany,E-commerce & direct-to-consumer,"German Media Pool, Seven Venture Capital"
Acronis,$1 ,9/18/2019,Switzerland,Cybersecurity,"Goldman Sachs, VebVentures, Insight Partners"
Actifio,$1.30 ,3/24/2014,United States,Data management & analytics,"Greylock Partners, North Bridge Venture Partners, Technology Crossover Ventures"
ACV Auctions,$1.50 ,11/12/2019,United States,E-commerce & direct-to-consumer,"Bessemer Venture Partners, Tribeca Venture Partners, Bain Capital Ventures"
Affirm,$2.90 ,12/11/2017,United States,Fintech,"Andreessen Horowitz, Khosla Ventures, Singapore Wealth Fund"
Afiniti,$1.60 ,4/14/2017,United States,Artificial intelligence,GAM Holding
Age of Learning,$1 ,5/3/2016,United States,Edtech,Iconiq Capital
Aihuishou,$2.50 ,7/12/2018,China,E-commerce & direct-to-consumer,"Morningside Ventures, JD.com, Tiantu Capital"
Airbnb,$18 ,7/26/2011,United States,Travel,"General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures"
Airtable,$2.59 ,11/15/2018,United States,Internet software & services,"Caffeinated Capital, CRV, Founder Collective"
Airwallex,$1.80 ,3/25/2019,Australia,Fintech,"DST Global, Sequoia Capital China, Tencent Holdings"
AIWAYS,$1.78 ,4/16/2018,China,Auto & transportation,"Jiangsu Sha Steel Group, Shanghai Puyin Industry, Funa Yuanchuang Technology"
Allbirds,$1.70 ,10/11/2018,United States,E-commerce & direct-to-consumer,"Lerer Hippeau Ventures, T. Rowe Price, Tiger Global Management"
Alto Pharmacy,$1 ,1/30/2020,United States,Health,"Jackson Square Ventures, Greenoaks Capital Management, Softbank Group"
Amplitude,$1 ,5/21/2020,United States,Data management & analytics,"Benchmark, Battery Ventures, Institutional Venture Partners"
Anduril,$1.90 ,9/11/2019,United States,Artificial intelligence,"Andreessen Horowitz, Founders Fund, Revolution Ventures"
Apeel Sciences,$1 ,5/26/2020,United States,Other,"Upfront Ventures, Tao Capital Partners, Andreessen Horowitz"
AppDirect,$1.04 ,10/7/2015,United States,E-commerce & direct-to-consumer,"Mithril, iNovia Capital, Foundry Group"
Applied Intuition,$1.25 ,10/22/2020,United States,Auto & transportation,"Andreessen Horowitz, Lux Capital, General Catalyst"
AppLovin,$2 ,1/1/2017,United States,Mobile & telecommunications,"Orient Hontai Capital, Webb Investment Network"
ApplyBoard,$1.50 ,5/5/2020,Canada,Edtech,"Artiman Ventures, Plug and Play Ventures, Anthos Capital"
AppsFlyer,$2 ,1/21/2020,United States,Mobile & telecommunications,"Magma Venture Partners, Pitango Venture Capital, Qumra Capital"
Aprogen,$1.04 ,5/31/2019,South Korea,Health,"Lindeman Asia Investment, Nichi-Iko Pharmaceutical"
Apus Group,$1.73 ,1/16/2015,China,Mobile & telecommunications,"Redpoint Ventures, QiMing Venture Partners, Chengwei Capital"
Arctic Wolf Networks,$1.30 ,10/22/2020,United States,Cybersecurity,"Lightspeed Venture Partners, Redpoint Ventures, Viking Global Investors"
Argo AI,$7.25 ,7/12/2019,United States,Artificial intelligence,"Volkswagen Group, Ford Autonomous Vehicles"
ASR Microelectronics,$1.60 ,4/30/2020,China,Hardware,"Shenzhen Capital Group, Sequoia Capital China, Hillhouse Capital Management"
Attentive Mobile,$2.20 ,9/23/2020,United States,Mobile & telecommunications,"NextView Ventures, Eniac Ventures, Sequoia Capital"
Aurora,$2.50 ,2/7/2019,United States,Auto & transportation,"Index Ventures, Greylock Partners, Lightspeed Venture Partners"
Auth0,$1.92 ,5/20/2019,United States,Cybersecurity,"Bessemer Venture Partners, K9 Ventures, Trinity Ventures"
