,Argentina,India,Mexico,United States,Australia,Brazil,Chile,China,Estonia,France,Germany,Hong Kong,Indonesia,Ireland,Nigeria,Singapore,South Korea,United Kingdom,Austria,Norway,Belgium,Czech Republic,Israel,Sweden,Turkey,Canada,Netherlands,Spain,Colombia,Japan,Philippines,Switzerland,Vietnam,Senegal,Denmark,Finland,Lithuania,Malaysia,Santa Clara
Argentina,0.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,1.0,406.0,11.0,547.0,8.0,17.0,10.0,42.0,16.0,23.0,10.0,11.0,6.0,8.0,0.0,7.0,3.0,68.0,1.0,6.0,0.0,0.0,19.0,9.0,7.0,4.0,10.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0
Mexico,1.0,11.0,3.0,61.0,2.0,4.0,4.0,2.0,0.0,4.0,1.0,1.0,0.0,4.0,0.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States,3.0,547.0,61.0,5390.0,54.0,81.0,24.0,155.0,58.0,177.0,93.0,82.0,39.0,73.0,1.0,35.0,33.0,211.0,7.0,69.0,8.0,14.0,249.0,43.0,41.0,114.0,20.0,38.0,9.0,15.0,27.0,10.0,2.0,12.0,1.0,8.0,7.0,1.0,11.0
Australia,0.0,8.0,2.0,54.0,4.0,1.0,2.0,40.0,1.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,2.0,17.0,4.0,81.0,1.0,10.0,1.0,7.0,1.0,2.0,7.0,1.0,1.0,1.0,0.0,2.0,5.0,13.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Chile,0.0,10.0,4.0,24.0,2.0,1.0,0.0,3.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,0.0,42.0,2.0,155.0,40.0,7.0,3.0,1162.0,2.0,7.0,5.0,51.0,11.0,30.0,1.0,11.0,6.0,5.0,2.0,4.0,0.0,0.0,2.0,2.0,3.0,6.0,1.0,1.0,1.0,7.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Estonia,0.0,16.0,0.0,58.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
France,0.0,23.0,4.0,177.0,2.0,2.0,0.0,7.0,2.0,23.0,13.0,1.0,3.0,1.0,0.0,2.0,1.0,17.0,1.0,1.0,2.0,2.0,9.0,6.0,2.0,2.0,3.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Germany,0.0,10.0,1.0,93.0,4.0,7.0,1.0,5.0,2.0,13.0,11.0,3.0,4.0,6.0,1.0,2.0,2.0,11.0,2.0,3.0,2.0,0.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
Hong Kong,0.0,11.0,1.0,82.0,3.0,1.0,2.0,51.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,0.0,6.0,0.0,39.0,3.0,1.0,0.0,11.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,5.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Ireland,0.0,8.0,4.0,73.0,3.0,1.0,1.0,30.0,2.0,1.0,6.0,2.0,1.0,0.0,0.0,4.0,1.0,7.0,1.0,1.0,0.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Nigeria,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Singapore,0.0,7.0,1.0,35.0,3.0,2.0,1.0,11.0,1.0,2.0,2.0,1.0,5.0,4.0,1.0,1.0,2.0,5.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
South Korea,0.0,3.0,1.0,33.0,2.0,5.0,1.0,6.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
United Kingdom,1.0,68.0,12.0,211.0,3.0,13.0,4.0,5.0,6.0,17.0,11.0,5.0,3.0,7.0,0.0,5.0,2.0,20.0,0.0,4.0,2.0,1.0,20.0,6.0,1.0,6.0,2.0,5.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
Austria,0.0,1.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norway,0.0,6.0,0.0,69.0,0.0,2.0,0.0,4.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Belgium,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Israel,0.0,19.0,2.0,249.0,2.0,2.0,0.0,2.0,1.0,9.0,5.0,1.0,1.0,5.0,0.0,2.0,6.0,20.0,0.0,2.0,2.0,1.0,30.0,5.0,1.0,5.0,2.0,1.0,2.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
Sweden,0.0,9.0,1.0,43.0,1.0,3.0,0.0,2.0,2.0,6.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,0.0,1.0,1.0,1.0,5.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
Turkey,0.0,7.0,0.0,41.0,2.0,0.0,1.0,3.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,0.0,4.0,0.0,114.0,0.0,2.0,0.0,6.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,6.0,0.0,1.0,2.0,0.0,5.0,2.0,1.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Netherlands,0.0,10.0,1.0,20.0,1.0,2.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Spain,0.0,1.0,2.0,38.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
Colombia,0.0,1.0,3.0,9.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japan,0.0,2.0,0.0,15.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Philippines,0.0,2.0,0.0,27.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
Switzerland,0.0,1.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Vietnam,0.0,2.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Senegal,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denmark,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finland,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lithuania,0.0,9.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malaysia,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Clara,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
