,Artificial intelligence,Auto & transportation,Consumer & retail,Cybersecurity,Data management & analytics,E-commerce & direct-to-consumer,Edtech,Fintech,Hardware,Health,Internet software & services,Mobile & telecommunications,Other,"Supply chain, logistics, & delivery",Travel
Artificial intelligence,90.0,18.0,22.0,42.0,52.0,90.0,27.0,192.0,29.0,51.0,222.0,26.0,41.0,41.0,10.0
Auto & transportation,22.0,8.0,7.0,15.0,9.0,60.0,7.0,60.0,10.0,14.0,66.0,8.0,13.0,18.0,3.0
Consumer & retail,42.0,6.0,11.0,4.0,2.0,38.0,14.0,75.0,15.0,24.0,79.0,4.0,13.0,19.0,1.0
Cybersecurity,36.0,3.0,7.0,65.0,61.0,68.0,14.0,153.0,6.0,44.0,206.0,14.0,13.0,19.0,1.0
Data management & analytics,71.0,8.0,9.0,64.0,70.0,88.0,15.0,175.0,8.0,58.0,260.0,23.0,21.0,30.0,3.0
E-commerce & direct-to-consumer,151.0,25.0,35.0,53.0,67.0,225.0,75.0,352.0,55.0,92.0,383.0,42.0,64.0,88.0,20.0
Edtech,60.0,13.0,24.0,8.0,10.0,52.0,23.0,94.0,29.0,20.0,95.0,9.0,28.0,21.0,6.0
Fintech,169.0,18.0,26.0,120.0,107.0,274.0,64.0,598.0,31.0,144.0,605.0,36.0,59.0,100.0,15.0
Hardware,40.0,10.0,9.0,19.0,25.0,40.0,12.0,77.0,13.0,30.0,84.0,12.0,23.0,22.0,4.0
Health,66.0,4.0,8.0,51.0,51.0,58.0,15.0,169.0,9.0,78.0,209.0,17.0,28.0,32.0,6.0
Internet software & services,195.0,18.0,32.0,190.0,173.0,264.0,71.0,585.0,35.0,185.0,792.0,50.0,82.0,94.0,9.0
Mobile & telecommunications,52.0,13.0,9.0,29.0,22.0,64.0,21.0,124.0,15.0,31.0,149.0,13.0,17.0,21.0,4.0
Other,48.0,8.0,10.0,25.0,37.0,63.0,11.0,118.0,13.0,25.0,126.0,9.0,24.0,24.0,5.0
"Supply chain, logistics, & delivery",52.0,7.0,10.0,37.0,36.0,86.0,16.0,144.0,12.0,38.0,163.0,16.0,20.0,21.0,5.0
Travel,22.0,8.0,5.0,13.0,21.0,35.0,6.0,43.0,2.0,9.0,49.0,5.0,11.0,9.0,1.0
