,Artificial intelligence,Auto & transportation,Consumer & retail,Cybersecurity,Data management & analytics,E-commerce & direct-to-consumer,Edtech,Fintech,Hardware,Health,Internet software & services,Mobile & telecommunications,Other,"Supply chain, logistics, & delivery",Travel
Artificial intelligence,90.0,22.0,42.0,36.0,71.0,151.0,60.0,169.0,40.0,66.0,195.0,52.0,48.0,52.0,22.0
Auto & transportation,22.0,8.0,6.0,3.0,8.0,25.0,13.0,18.0,10.0,4.0,18.0,13.0,8.0,7.0,8.0
Consumer & retail,42.0,6.0,11.0,7.0,9.0,35.0,24.0,26.0,9.0,8.0,32.0,9.0,10.0,10.0,5.0
Cybersecurity,36.0,3.0,7.0,65.0,64.0,53.0,8.0,120.0,19.0,51.0,190.0,29.0,25.0,37.0,13.0
Data management & analytics,71.0,8.0,9.0,64.0,70.0,67.0,10.0,107.0,25.0,51.0,173.0,22.0,37.0,36.0,21.0
E-commerce & direct-to-consumer,151.0,25.0,35.0,53.0,67.0,225.0,52.0,274.0,40.0,58.0,264.0,64.0,63.0,86.0,35.0
Edtech,60.0,13.0,24.0,8.0,10.0,52.0,23.0,64.0,12.0,15.0,71.0,21.0,11.0,16.0,6.0
Fintech,169.0,18.0,26.0,120.0,107.0,274.0,64.0,598.0,77.0,169.0,585.0,124.0,118.0,144.0,43.0
Hardware,40.0,10.0,9.0,19.0,25.0,40.0,12.0,77.0,13.0,9.0,35.0,15.0,13.0,12.0,2.0
Health,66.0,4.0,8.0,51.0,51.0,58.0,15.0,169.0,9.0,78.0,185.0,31.0,25.0,38.0,9.0
Internet software & services,195.0,18.0,32.0,190.0,173.0,264.0,71.0,585.0,35.0,185.0,792.0,149.0,126.0,163.0,49.0
Mobile & telecommunications,52.0,13.0,9.0,29.0,22.0,64.0,21.0,124.0,15.0,31.0,149.0,13.0,9.0,16.0,5.0
Other,48.0,8.0,10.0,25.0,37.0,63.0,11.0,118.0,13.0,25.0,126.0,9.0,24.0,20.0,11.0
"Supply chain, logistics, & delivery",52.0,7.0,10.0,37.0,36.0,86.0,16.0,144.0,12.0,38.0,163.0,16.0,20.0,21.0,9.0
Travel,22.0,8.0,5.0,13.0,21.0,35.0,6.0,43.0,2.0,9.0,49.0,5.0,11.0,9.0,1.0
