,source,target
0,EXOR Seeds,OLX Group
1,EXOR Seeds,KCK Group
2,Kae Capital,Sequoia Capital India
3,Kae Capital,Accel
4,3i Group,Huagai Capital
5,3i Group,General Atlantic
6,Mundi Ventures,Activant Capital
7,Mundi Ventures,Doqling Capital Partners
8,Multicoin Capital,Dragonfly Capital Partners
9,Multicoin Capital,Coatue Management
10,SDIC CMC Investment Management,Bank Of China Group Investment
11,SDIC CMC Investment Management,IDG Capital
12,DSC Investments,KTB Ventures
13,DSC Investments,Smilegate Investment
14,Shenzhen Capital Group,Matrix Partners China
15,Shenzhen Capital Group,SeptWolves Ventures
16,Shenzhen Capital Group,Bright Venture Capita
17,Shenzhen Capital Group,Robert Bosch Venture Capital
18,Shenzhen Capital Group,Oriental Fortune Capital
19,Shenzhen Capital Group,Guozhong Venture Capital Management
20,Robert Bosch Venture Capital,SeptWolves Ventures
21,Innova Capital - FIP,3G Capital Management
22,Innova Capital - FIP,Prosus Ventures
23,Insignia Ventures Partners,Softbank Ventures Asia
24,Insignia Ventures Partners,Alpha JWC Ventures
25,index Ventures,Ribbit Capital
26,index Ventures,DST Global
27,Piton Capital,Partech Partners
28,Piton Capital,General Atlantic
29,Launchpad Venture Group,ICONIQ Capital
30,Launchpad Venture Group,Insight Venture Partners
31,Shang Qi Capital,Yunfeng Capital
32,Shang Qi Capital,SDIC Innovation Investment Management
33,Horizons Ventures,Sequoia Capital India
34,Horizons Ventures,Founders Fund
35,Horizons Ventures,Alpha JWC Ventures
36,Horizons Ventures,Temasek Holdings
37,Horizons Ventures,Khosla Ventures
38,Griffin Gaming Partners,Andreessen Horowitz
39,Griffin Gaming Partners,Battery Ventures
40,White Star Capital,Northzone Ventures
41,White Star Capital,Novator Partners
42,JAFCO Co,IDG Capital
43,JAFCO Co,Bitmain Technologies_
44,Grand Flight Investment,BlueRun Ventures
45,Grand Flight Investment,Meituan Dianping
46,3one4 Capital Partners,Vertex Ventures SE Asia
47,3one4 Capital Partners,Bertelsmann India Investments
48,WestBridge Capital,Elevar Equity
49,WestBridge Capital,Lightspeed Venture Partners
50,WestBridge Capital,GSV Ventures
51,WestBridge Capital,M12
52,Walden International,Google Ventures
53,Walden International,Zhangjiang Haocheng Venture Capital
54,Walden International,Intel Capital
55,Bnk To The Future,SBI Investment
56,Bnk To The Future,Trammell Ventures
57,Ding Xiang Capital,New Hope Fund
58,Ding Xiang Capital,Sino-Ocean Capital
59,Forerunner Ventures,Thrive Capital
60,Forerunner Ventures,Comcast Ventures
61,Forerunner Ventures,Crosslink Capital
62,Forerunner Ventures,Global Founders Capital
63,Forerunner Ventures,Sequoia Capital
64,Forerunner Ventures,Homebrew
65,Forerunner Ventures,Khosla Ventures
66,Forerunner Ventures,Institutional Venture Partners
67,DC Thomson Ventures,Hopu Investment Management
68,DC Thomson Ventures,Boyu Capital
69,Yunqi Partners,iVision Ventures
70,Yunqi Partners,SoftBank Group
71,Spar Capital,Index Ventures
72,Spar Capital,New Enterprise Associates
73,OpenView Venture Partners,Trinity Ventures
74,OpenView Venture Partners,ICONIQ Capital
75,OpenView Venture Partners,Fifth Wall Ventures
76,Hedosophia,Tiger Global Management
77,Hedosophia,Passion Capital
78,Hedosophia,Outrun Ventures
79,Slow Ventures,Wing Venture Capital
80,Slow Ventures,Uncork Capital
81,Insights Partners,Innovation Endeavors
82,Insights Partners,Venrock
83,Unternehmertum Venture Capital,Holtzbrinck Ventures
84,Unternehmertum Venture Capital,General Atlantic
85,Tiger Global,Google Capital
86,Tiger Global,August Capital
87,Tiger Global,Sequoia Capital
88,Tiger Global,RRE Ventures
89,Leaders Fund,Cowboy Ventures
90,Leaders Fund,GGV Capital
91,Equal Ventures,Andreessen Horowitz
92,Equal Ventures,Uncork Capital
93,Valiant Capital Partners,SAIF Partners India
94,Valiant Capital Partners,SoftBank Group
95,Rembrandt Venture Partners,Insight Partners
96,Rembrandt Venture Partners,Altos Ventures
97,Rembrandt Venture Partners,Mayfield Fund
98,Rembrandt Venture Partners,M12
99,10T Fund,Morgan Creek Digital
100,10T Fund,Marcy Venture Partners
101,Emerge,Bessemer Venture Partners
102,Emerge,Vertex Ventures Israel
103,Yaxia Automobile,Qiming Venture Partners
104,Yaxia Automobile,Far East Horizon
105,Skip Capital,Accel
106,Skip Capital,Slack Fund
107,A&NN,Rusnano
108,CVC Capital Partners,The Carlyle Group
109,ING,Alibaba Entrepreneurs Fund
110,ING,Sequoia Capital China
111,Gaocheng Capital,IDG Capital
112,Gaocheng Capital,Chuanrong Capital
113,Temasek Holdings Ltd.,Tiantu Capital Co.
114,Temasek Holdings Ltd.,Advantech Capital
115,Foundation Capital,Andreessen Horowitz
116,Foundation Capital,AltaIR Capital
117,Foundation Capital,Thoma Bravo
118,Foundation Capital,Frontier Ventures
119,Foundation Capital,QED Investors
120,Foundation Capital,Summit Partners
121,Foundation Capital,Pelion Venture Partners
122,Foundation Capital,General Catalyst
123,Foundation Capital,Benchmark
124,Foundation Capital,Sequoia Capital
125,Foundation Capital,Adams Street Partners
126,Foundation Capital,Expa
127,Foundation Capital,Institutional Venture Partners
128,Foundation Capital,Intel Capital
129,Boyu Capital,Hopu Investment Management
130,Boyu Capital,Sequoia Capital China
131,Boyu Capital,Hillhouse Capital Management
132,Boyu Capital,Alibaba Group
133,Boyu Capital,Borui Capital
134,GX Capital,Sequoia Capital China
135,Core Capital Partners,Battery Ventures
136,Core Capital Partners,Contour Venture Partners
137,China Investment Corporation,New Enterprise Associates
138,Trifecta Capital Advisors,Warburg Pincus
139,Trifecta Capital Advisors,SAIF Partners India
140,Yunfeng Capital,Hillhouse Capital Management
141,Yunfeng Capital,SDIC Innovation Investment Management
142,Yunfeng Capital,Meridian Capital
143,Yunfeng Capital,Tencent Holdings
144,Yunfeng Capital,DESUN Capital
145,SK Ventures,Raven One Ventures
146,SK Ventures,XBTO Ventures
147,Haitong Leading Capital Management,GF Xinde Investment Management Co.
148,Haitong Leading Capital Management,V Star Capital
149,IAG Capital Partners,Northzone Ventures
150,IAG Capital Partners,Augmentum Fintech
151,China Renaissance,and Sequoia Capital China
152,China Renaissance,China Health Industry Investment Fund
153,Gunosy Capital,Blume Ventures
154,Gunosy Capital,Das Capital
155,Balderton Capital,Draper Esprit
156,Balderton Capital,IDInvest Partners
157,Balderton Capital,The Raine Group
158,Balderton Capital,SoftBank Latin America Fund
159,Balderton Capital,Target Global
160,Balderton Capital,Eurazeo
161,Balderton Capital,Tiger Global Management
162,Balderton Capital,General Catalyst
163,Balderton Capital,Vostok New Ventures
164,Balderton Capital,Advent International
165,Balderton Capital,Next World Capital
166,Balderton Capital,LocalGlobe
167,iVision Ventures,SoftBank Group
168,Thrity Five Ventures,Casa Verde Capital
169,Thrity Five Ventures,Gron Ventures
170,Lone Pine Capital,M13
171,Lone Pine Capital,Lightspeed Venture Partners
172,DESUN Capital,Meridian Capital
173,UBS,BlackRock
174,UBS,Blackstone
175,G Squared,Thrive Capital
176,G Squared,Durable Capital Partners
177,14W,Mangrove Capital Partners
178,14W,Max Ventures
179,14W,GS Growth
180,14W,Accel
181,CR Capital Mgmt,JD Digits
182,CR Capital Mgmt,N5 Capital
183,CommerzVentures,Munich Re Ventures
184,CommerzVentures,Octopus Ventures
185,The Venture Collective,Hemisphere Ventures
186,The Venture Collective,C5 Capital
187,Northzone Ventures,Temasek
188,Northzone Ventures,Connect Ventures
189,Northzone Ventures,Johnson & Johnson Innovation
190,Northzone Ventures,BUILD Capital Partners
191,Northzone Ventures,Maveron
192,Northzone Ventures,Augmentum Fintech
193,Northzone Ventures,Cherry Ventures
194,Northzone Ventures,Novator Partners
195,Northzone Ventures,Global Founders Capital
196,Northzone Ventures,Accel
197,Northzone Ventures,Institutional Venture Partners
198,Northzone Ventures,Anthemis
199,Vision Knight Capital,CMB International Capital
200,Vision Knight Capital,Tiantu Capital
201,Initialized Capital,Canaan Partners
202,Initialized Capital,Sound Ventures
203,Initialized Capital,Andreessen Horowitz
204,Initialized Capital,CRV
205,Initialized Capital,SignalFire
206,Initialized Capital,Y Combinator
207,Initialized Capital,Kraken Ventures
208,Initialized Capital,General Catalyst
209,Initialized Capital,TI Platform Management
210,Initialized Capital,TriplePoint Capital
211,Initialized Capital,Kleiner Perkins Caufield & Byers
212,Route 66 Ventures,Point72 Ventures
213,Route 66 Ventures,Accel
214,Qatar Investment Authority,JTC Group
215,Qatar Investment Authority,Guggenheim Investments
216,Qatar Investment Authority,Temasek
217,Qatar Investment Authority,Fidelity Investment
218,FundersClub,Tiger Global Management
219,FundersClub,Y Combinator
220,Global Asset Capital,Tiger Global Management
221,Global Asset Capital,Tao Capital Partners
222,Altimeter Capital,Almaz Capital Partners
223,Altimeter Capital,Redpoint Ventures
224,Altimeter Capital,Benchmark
225,Altimeter Capital,Quiet Capital
226,Altimeter Capital,True Ventures
227,Altimeter Capital,Lightspeed Venture Partners
228,Artis Ventures,WestCap Group
229,Artis Ventures,Oak HC/FT Partners
230,Banyan Capital,Sequoia Capital China
231,Banyan Capital,New Horizon Capital
232,Banyan Capital,IDG Capital Partners
233,FAW Group,Tus Holdings
234,FAW Group,Tencent Holdings
235,Bolt Ventures,Not Boring Capital
236,Bolt Ventures,SC.Holdings
237,Index Ventures,Bezos Expeditions
238,Index Ventures,Draft Ventures
239,Index Ventures,Technology Crossover Ventures
240,Index Ventures,Blackbird Ventures
241,Index Ventures,Eight Roads Ventures
242,Index Ventures,Airbus Ventures
243,Index Ventures,Inova Ventures Participacees
244,Index Ventures,Partech Partners
245,Index Ventures,Accel
246,Index Ventures,Insight Partners
247,Index Ventures,IDInvest Partners
248,Index Ventures,Felicis Ventures
249,Index Ventures,Temasek
250,Index Ventures,CRV
251,Index Ventures,Makers Fund
252,Index Ventures,New Enterprise Associates
253,Index Ventures,General Catalyst
