,Degree Centrality,Betweenness Centrality,Eigen Centrality,Closeness Centrality,Page Rank
Artificial intelligence,1.1428571428571428,0.0,0.25819888974716115,1.0,0.08135583819329356
Auto & transportation,1.1428571428571428,0.0,0.25819888974716115,1.0,0.021525108804246986
Consumer & retail,1.1428571428571428,0.0,0.25819888974716115,1.0,0.025918523607078234
Cybersecurity,1.1428571428571428,0.0,0.25819888974716115,1.0,0.0540182640440797
Data management & analytics,1.1428571428571428,0.0,0.25819888974716115,1.0,0.05802303882076497
E-commerce & direct-to-consumer,1.1428571428571428,0.0,0.25819888974716115,1.0,0.10364211143674829
Edtech,1.1428571428571428,0.0,0.25819888974716115,1.0,0.03626576657784072
Fintech,1.1428571428571428,0.0,0.25819888974716115,1.0,0.1712904664864722
Hardware,1.1428571428571428,0.0,0.25819888974716115,1.0,0.031044943372690637
Health,1.1428571428571428,0.0,0.25819888974716115,1.0,0.05833809351886849
Internet software & services,1.1428571428571428,0.0,0.25819888974716115,1.0,0.19426794438707698
Mobile & telecommunications,1.1428571428571428,0.0,0.25819888974716115,1.0,0.04511673131119233
Other,1.1428571428571428,0.0,0.25819888974716115,1.0,0.043729926979218556
"Supply chain, logistics, & delivery",1.1428571428571428,0.0,0.25819888974716115,1.0,0.05057877745757798
Travel,1.1428571428571428,0.0,0.25819888974716115,1.0,0.024884465002850513
