,Degree Centrality,Betweenness Centrality,Eigen Centrality,Closeness Centrality,Page Rank,In-degree Centrality,Out-degree Centrality,Elongation,Expansion,Teacher Disciple Degree,Colleague Degree,Unidirect Density,Bidirect Density,Total valuation($B),Valuation count,Mean valuation($B),#countries,#industries,#unicorns
Degree Centrality,1.0,0.8636976995390984,-0.022131619712589583,0.18119508784222016,0.08150919573140077,0.6845966709285821,0.9704167018127091,0.52325529340382,0.5846517317278193,,,1.0000000000000195,,0.8258511338745838,0.9916284653519979,0.04392881748446865,0.8339603833989374,0.9061023541979463,0.9916284653519979
Betweenness Centrality,0.8636976995390984,1.0,-0.011850466490853384,0.1783602015871245,0.11046962449228948,0.7007099899148113,0.8019023949634607,0.41983181579290424,0.4285624430514941,,,0.8636976995390672,,0.6937358579944218,0.8632952881832066,0.029380786570381606,0.7315205385283862,0.7281531402839659,0.8632952881832066
Eigen Centrality,-0.022131619712589583,-0.011850466490853384,1.0,0.04058365948200338,0.08868327117525716,-0.02012081146484954,-0.019830851959838098,-0.036773677572474246,-0.016675334769498135,,,-0.02213161971258943,,-0.013027330921359484,-0.016275729040686852,-0.0018337965703195157,-0.017242371231641098,-0.022905612728316555,-0.016275729040686852
Closeness Centrality,0.18119508784222016,0.1783602015871245,0.04058365948200338,1.0,0.3244963344561917,0.5523238947157949,0.033978859771189356,-0.03038479259649499,-0.1441087229159763,,,0.18119508784222083,,0.06877352483384203,0.15112383049023193,-0.024638275309273986,0.17392900568228373,0.18534580338314804,0.15112383049023193
Page Rank,0.08150919573140077,0.11046962449228948,0.08868327117525716,0.3244963344561917,1.0,0.40452863830713165,-0.03640895258190924,-0.21005924192852046,-0.1183390779649365,,,0.0815091957314011,,0.018328486871778182,0.07058867479443977,-0.0576679989694479,0.07105327424853224,0.05733577284905868,0.07058867479443977
In-degree Centrality,0.6845966709285821,0.7007099899148113,-0.02012081146484954,0.5523238947157949,0.40452863830713165,1.0,0.4883558873488443,0.2674121447829584,0.1836130145335916,,,0.6845966709285821,,0.4857454920176031,0.6507842554846933,0.0360397990254362,0.6006071480056255,0.6347924492185524,0.6507842554846933
Out-degree Centrality,0.9704167018127091,0.8019023949634607,-0.019830851959838098,0.033978859771189356,-0.03640895258190924,0.4883558873488443,1.0,0.5378529908596069,0.6391112887126557,,,0.9704167018126961,,0.8277948823156006,0.971594010043224,0.04065308668780452,0.7994581553093839,0.8745014714880982,0.971594010043224
Elongation,0.52325529340382,0.41983181579290424,-0.036773677572474246,-0.03038479259649499,-0.21005924192852046,0.2674121447829584,0.5378529908596069,1.0,0.7122197130051175,,,0.5232552934038146,,0.44510592789985637,0.4943045763938158,0.09178292730578488,0.46066060754322846,0.602882057395531,0.4943045763938158
Expansion,0.5846517317278193,0.4285624430514941,-0.016675334769498135,-0.1441087229159763,-0.1183390779649365,0.1836130145335916,0.6391112887126557,0.7122197130051175,1.0,,,0.5846517317278156,,0.559947853422565,0.5775100272493874,0.08321726590050685,0.46232256004206335,0.6359498672673581,0.5775100272493874
Teacher Disciple Degree,,,,,,,,,,,,,,,,,,,
Colleague Degree,,,,,,,,,,,,,,,,,,,
Unidirect Density,1.0000000000000195,0.8636976995390672,-0.02213161971258943,0.18119508784222083,0.0815091957314011,0.6845966709285821,0.9704167018126961,0.5232552934038146,0.5846517317278156,,,1.0,,0.8258511338745909,0.9916284653519879,0.043928817484468786,0.8339603833989734,0.9061023541979625,0.9916284653519879
Bidirect Density,,,,,,,,,,,,,,,,,,,
Total valuation($B),0.8258511338745838,0.6937358579944218,-0.013027330921359484,0.06877352483384203,0.018328486871778182,0.4857454920176031,0.8277948823156006,0.44510592789985637,0.559947853422565,,,0.8258511338745909,,1.0,0.8423373528007146,0.40376199976176663,0.696071976705032,0.7427836176992568,0.8423373528007146
Valuation count,0.9916284653519979,0.8632952881832066,-0.016275729040686852,0.15112383049023193,0.07058867479443977,0.6507842554846933,0.971594010043224,0.4943045763938158,0.5775100272493874,,,0.9916284653519879,,0.8423373528007146,1.0,0.040664411481813295,0.8399887826195749,0.88986296092583,1.0
Mean valuation($B),0.04392881748446865,0.029380786570381606,-0.0018337965703195157,-0.024638275309273986,-0.0576679989694479,0.0360397990254362,0.04065308668780452,0.09178292730578488,0.08321726590050685,,,0.043928817484468786,,0.40376199976176663,0.040664411481813295,1.0,0.028229726920955458,0.047151957722663944,0.040664411481813295
#countries,0.8339603833989374,0.7315205385283862,-0.017242371231641098,0.17392900568228373,0.07105327424853224,0.6006071480056255,0.7994581553093839,0.46066060754322846,0.46232256004206335,,,0.8339603833989734,,0.696071976705032,0.8399887826195749,0.028229726920955458,1.0,0.7702316368773302,0.8399887826195749
#industries,0.9061023541979463,0.7281531402839659,-0.022905612728316555,0.18534580338314804,0.05733577284905868,0.6347924492185524,0.8745014714880982,0.602882057395531,0.6359498672673581,,,0.9061023541979625,,0.7427836176992568,0.88986296092583,0.047151957722663944,0.7702316368773302,1.0,0.88986296092583
#unicorns,0.9916284653519979,0.8632952881832066,-0.016275729040686852,0.15112383049023193,0.07058867479443977,0.6507842554846933,0.971594010043224,0.4943045763938158,0.5775100272493874,,,0.9916284653519879,,0.8423373528007146,1.0,0.040664411481813295,0.8399887826195749,0.88986296092583,1.0
