,Degree Centrality,Betweenness Centrality,Eigen Centrality,Closeness Centrality,Page Rank,In-degree Centrality,Out-degree Centrality,Elongation,Expansion,Teacher Disciple Degree,Colleague Degree,Unidirect Density,Bidirect Density,Valuation($B) flaot_x,Valuation($B) flaot_y
Degree Centrality,1.0,0.6701603026560722,0.06575508651584334,0.4055362701186833,0.2542071380995987,0.7375962001397991,0.7530007208973204,0.15491261288212743,0.24628610648200594,,,1.0000000000000022,,0.10861602508349397,0.10861602508349397
Betweenness Centrality,0.6701603026560722,1.0,-0.03225587099626466,0.1745088302358953,-0.028733686099450432,0.42087615341173007,0.5761898236724851,0.1764438354798042,0.18095420368738552,,,0.6701603026560694,,0.05570445718591802,0.05570445718591802
Eigen Centrality,0.06575508651584334,-0.03225587099626466,1.0,0.15600558412938775,0.6134390032677214,0.14880560366335563,-0.04823294949730945,-0.10887423477582617,-0.058367585414438324,,,0.0657550865158433,,-0.015249852997082758,-0.015249852997082758
Closeness Centrality,0.4055362701186833,0.1745088302358953,0.15600558412938775,1.0,0.5941900720949809,0.7839805078133893,-0.16712284354120055,-0.4168194071749502,-0.5697438993352152,,,0.40553627011868254,,-0.13742428741154583,-0.13742428741154583
Page Rank,0.2542071380995987,-0.028733686099450432,0.6134390032677214,0.5941900720949809,1.0,0.5806164096800243,-0.191669466203504,-0.36746206411385574,-0.31263777509815566,,,0.25420713809959894,,-0.06945984903106137,-0.06945984903106137
In-degree Centrality,0.7375962001397991,0.42087615341173007,0.14880560366335563,0.7839805078133893,0.5806164096800243,1.0,0.11108789556783084,-0.13818638041206785,-0.28381091495677246,,,0.7375962001397964,,-0.06349538097425309,-0.06349538097425309
Out-degree Centrality,0.7530007208973204,0.5761898236724851,-0.04823294949730945,-0.16712284354120055,-0.191669466203504,0.11108789556783084,1.0,0.36265980274206927,0.6390521756140951,,,0.7530007208973205,,0.2217352477745336,0.2217352477745336
Elongation,0.15491261288212743,0.1764438354798042,-0.10887423477582617,-0.4168194071749502,-0.36746206411385574,-0.13818638041206785,0.36265980274206927,1.0,0.6287757666494863,,,0.15491261288212732,,0.13130767468571833,0.13130767468571833
Expansion,0.24628610648200594,0.18095420368738552,-0.058367585414438324,-0.5697438993352152,-0.31263777509815566,-0.28381091495677246,0.6390521756140951,0.6287757666494863,1.0,,,0.24628610648200563,,0.2558641716894201,0.2558641716894201
Teacher Disciple Degree,,,,,,,,,,,,,,,
Colleague Degree,,,,,,,,,,,,,,,
Unidirect Density,1.0000000000000022,0.6701603026560694,0.0657550865158433,0.40553627011868254,0.25420713809959894,0.7375962001397964,0.7530007208973205,0.15491261288212732,0.24628610648200563,,,1.0,,0.10861602508349393,0.10861602508349393
Bidirect Density,,,,,,,,,,,,,,,
Valuation($B) flaot_x,0.10861602508349397,0.05570445718591802,-0.015249852997082758,-0.13742428741154583,-0.06945984903106137,-0.06349538097425309,0.2217352477745336,0.13130767468571833,0.2558641716894201,,,0.10861602508349393,,1.0,1.0
Valuation($B) flaot_y,0.10861602508349397,0.05570445718591802,-0.015249852997082758,-0.13742428741154583,-0.06945984903106137,-0.06349538097425309,0.2217352477745336,0.13130767468571833,0.2558641716894201,,,0.10861602508349393,,1.0,1.0
