,Argentina,India,Mexico,United States,Australia,Brazil,Chile,China,Estonia,France,Germany,Hong Kong,Indonesia,Ireland,Nigeria,Singapore,South Korea,United Kingdom,Austria,Norway,Belgium,Czech Republic,Israel,Sweden,Turkey,Canada,Netherlands,Spain,Colombia,Japan,Philippines,Switzerland,Vietnam,Senegal,Denmark,Finland,Lithuania,Malaysia,Santa Clara
Argentina,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,1.0,404.0,18.0,412.0,8.0,17.0,10.0,42.0,16.0,23.0,10.0,11.0,27.0,17.0,0.0,7.0,5.0,23.0,0.0,4.0,0.0,0.0,5.0,2.0,4.0,4.0,0.0,9.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,0.0,11.0,3.0,25.0,0.0,4.0,4.0,2.0,0.0,4.0,1.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States,3.0,546.0,61.0,5380.0,54.0,80.0,24.0,154.0,57.0,177.0,92.0,82.0,39.0,73.0,1.0,35.0,33.0,211.0,7.0,69.0,8.0,14.0,248.0,43.0,41.0,114.0,20.0,38.0,9.0,15.0,27.0,10.0,6.0,12.0,1.0,8.0,7.0,1.0,11.0
Australia,0.0,8.0,2.0,31.0,4.0,1.0,2.0,43.0,1.0,5.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,2.0,19.0,11.0,77.0,0.0,10.0,5.0,5.0,1.0,8.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chile,0.0,4.0,1.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,0.0,62.0,4.0,390.0,40.0,7.0,3.0,1161.0,2.0,55.0,50.0,62.0,31.0,30.0,40.0,50.0,40.0,11.0,2.0,4.0,0.0,0.0,12.0,1.0,3.0,6.0,1.0,1.0,1.0,11.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Estonia,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France,0.0,15.0,1.0,117.0,2.0,2.0,0.0,7.0,2.0,23.0,5.0,1.0,1.0,6.0,0.0,3.0,0.0,11.0,0.0,1.0,2.0,2.0,3.0,5.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
