,Degree Centrality,Betweenness Centrality,Eigen Centrality,Closeness Centrality,Page Rank
Argentina,0.13157894736842105,0.005953561216719111,0.0005761173335262675,0.40860215053763443,0.004350204555302933
India,0.8421052631578947,0.015933696854749487,0.10788287490614805,0.4634146341463415,0.07773391906482595
Mexico,0.5526315789473684,0.022412018387250585,0.011418480082810212,0.5066666666666667,0.011892444775572608
United States,1.0526315789473684,0.007883913661945697,0.9899053092008143,0.38,0.4632907778317491
Australia,0.6578947368421052,0.011411022769381905,0.010288468185010675,0.4935064935064935,0.013542601575798018
Brazil,0.6842105263157894,0.005594504278714805,0.015046187759268631,0.48717948717948717,0.0156650761289221
Chile,0.39473684210526316,0.0074558928274098555,0.004610811806485522,0.5277777777777778,0.007374680336640136
China,0.8157894736842105,0.004641671746934905,0.036978290954342005,0.4691358024691358,0.09129287271840991
Estonia,0.5526315789473684,0.026288729423404347,0.01071596855864917,0.5507246376811594,0.01004681694204587
France,0.7894736842105263,0.04152216125900336,0.03289389485704699,0.5205479452054794,0.023580810430454496
Germany,0.8684210526315789,0.03624309991586879,0.01716509852332749,0.5588235294117647,0.018593680953382978
Hong Kong,0.6578947368421052,0.01456967167190616,0.015465414570960173,0.5277777777777778,0.015144542613807498
Indonesia,0.5789473684210527,0.022321454983993683,0.007328957225232389,0.5507246376811594,0.009621549684146958
Ireland,0.7105263157894737,0.06446971556424377,0.013702873144404578,0.6129032258064516,0.01383552559172816
Nigeria,0.21052631578947367,0.029601456992424818,0.00020346604292178965,0.48717948717948717,0.004615913801055326
Singapore,0.6842105263157894,0.04339777571369979,0.006649607786238048,0.5671641791044776,0.010432155631020108
South Korea,0.6578947368421052,0.062244358269227036,0.006179364306749481,0.5671641791044776,0.00967469637553047
United Kingdom,0.8684210526315789,0.03199450002855575,0.04009134496110685,0.4810126582278481,0.0328115666788795
Austria,0.18421052631578946,0.0038253196147932994,0.001313881615981942,0.4470588235294118,0.004732778772018583
Norway,0.5,0.030589660852818754,0.012683996485877874,0.5588235294117647,0.010786028093505831
Belgium,0.2631578947368421,0.0004877057508636456,0.0015065288298581703,0.4523809523809524,0.005411923656236968
Czech Republic,0.23684210526315788,0.027649642123326337,0.0025603521683993497,0.5,0.005576769984296234
Israel,0.7894736842105263,0.018340884073149516,0.04570633011401071,0.5205479452054794,0.02831102767330454
Sweden,0.7368421052631579,0.09242076953158525,0.008124874251661961,0.6333333333333333,0.011472197403384123
Turkey,0.5,0.04267807245748423,0.007614230253636134,0.5757575757575758,0.008412422711370217
Canada,0.631578947368421,0.02462452635675815,0.020834491887595615,0.5277777777777778,0.014153062912206435
Netherlands,0.6052631578947368,0.027177022679445616,0.0039056303709234736,0.5671641791044776,0.007998296546421067
Spain,0.47368421052631576,0.050465624818666954,0.00696376009459746,0.5757575757575758,0.008674219178487671
Colombia,0.5,0.037282247905312926,0.0017313147384889103,0.5588235294117647,0.00647423481654049
Japan,0.3684210526315789,0.009075544524460931,0.0028301803297040248,0.5205479452054794,0.006437714183899936
Philippines,0.3157894736842105,0.05829121667727132,0.004978406556189362,0.5066666666666667,0.008376811787314913
Switzerland,0.3684210526315789,0.028730325674732726,0.0019217733261852087,0.5588235294117647,0.005924352024156582
Vietnam,0.15789473684210525,0.0014290033740834655,0.00044003675793191557,0.4222222222222222,0.004627877110969878
Senegal,0.07894736842105263,0.000995732574679943,0.002172715208892277,0.38,0.004721601904126539
Denmark,0.13157894736842105,0.024114413530889497,0.00018871573952672789,0.4935064935064935,0.004279819393417166
Finland,0.21052631578947367,0.0076069960938382,0.0014605420020418576,0.5066666666666667,0.004953725290081686
Lithuania,0.47368421052631576,0.05507897325016049,0.00153607591802391,0.6129032258064516,0.006549646523454696
Malaysia,0.05263157894736842,0.0030363069836754054,0.00018142868737675398,0.35514018691588783,0.004058421142396467
Santa Clara,0.07894736842105263,0.0007230915125651968,0.0019941669157066263,0.3877551020408163,0.004567233203138269
