,Company,Degree Centrality,Betweenness Centrality,Eigen Centrality,Closeness Centrality,Page Rank,Valuation ($B) ,Date Added,Country,Category,Select Investors,Valuation($B) flaot,DateTime Joined
0,DriveWealth,0.058058058058058054,0.0014873305096086474,0.0940732693016202,0.357644056134287,0.0014842629263037096,$2.85 ,2021/8/20,United States,Fintech,"['Point72 Ventures', ' Route 66 Ventures', ' Accel']",2.85,2021-08-20
1,Paradox,0.001001001001001001,0.0,0.0003154210254243992,0.24827817953588605,0.00019150922044503828,$1.50 ,2021/12/27,United States,Internet software & services,"['Brighton Park Capital', ' Blue Cloud Ventures', ' Workday Ventures']",1.5,2021-12-27
2,LTK,0.03003003003003003,7.385681253384151e-07,0.011343560165687315,0.32621077943070653,0.0009261169796200616,$2.00 ,2021/11/22,United States,Internet software & services,"['SoftBank Group', ' Maverick Capital']",2.0,2021-11-22
3,Doctolib,0.056056056056056056,3.6645596150076184e-06,0.09368875114305394,0.35622043981177104,0.0013929474388534732,$1.14 ,2019/3/19,France,Health,"['BPI France', ' Kerala Ventures', ' Accel']",1.14,2019-03-19
4,MUSINSA,0.04204204204204204,2.655108863454003e-06,0.035135599104143274,0.35278774174963395,0.0011410107035695193,$2.20 ,2019/11/11,South Korea,E-commerce & direct-to-consumer,['Sequoia Capital'],2.2,2019-11-11
5,Cgtz,0.007007007007007007,1.3556692964645565e-06,0.0011141449293234724,0.27526124894545945,0.0005989643601588472,$2.41 ,2017/2/21,China,Fintech,"['Shunwei Capital Partners', ' China Media Group', ' Guangzhou Huiyin Aofeng Equity Investment Fund']",2.41,2017-02-21
6,Domestika,0.007007007007007007,0.000196838182725446,0.0006290481285346425,0.2762999706395933,0.0005366001386526507,$1.30 ,2022/1/27,United States,Internet software & services,"['Zeev Ventures', ' GSV Ventures']",1.3,2022-01-27
7,SnapLogic,0.044044044044044044,0.0009767660546746936,0.022327770523119555,0.3605257002750288,0.0012679116540274405,$1.00 ,2021/12/13,United States,Internet software & services,"['Andreessen Horowitz', ' Triangle Peak Partners', ' Ignition Partners']",1.0,2021-12-13
8,Highspot,0.011011011011011011,0.0007850567829991676,0.0026815868777254155,0.2918168168168168,0.0007207376050037924,$3.50 ,2021/2/22,United States,Internet software & services,"['Madrona Venture Group', ' Shasta Ventures', ' Salesforce Ventures']",3.5,2021-02-22
9,Circle,0.0890890890890891,0.0069085303302915835,0.10439096317750927,0.3864752468399301,0.002323105840420261,$3.00 ,2018/5/15,United States,Fintech,"['General Catalyst', ' Digital Currency Group', ' Accel']",3.0,2018-05-15
10,M1 Finance,0.009009009009009009,0.0003247321464490736,0.00228093467451398,0.2985227629408504,0.0005554330585678454,$1.45 ,2021/7/14,United States,Fintech,"['Left Lane Capital', ' Clocktower Technology Ventures', ' Jump Capital']",1.45,2021-07-14
11,Globalization Partners,0.001001001001001001,0.0,2.3570245017894977e-05,0.22102481185905992,0.00021826542733111736,$4.20 ,2022/1/24,United States,Internet software & services,"['Vista Equity Partners', ' Wincove', ' TDR Capital']",4.2,2022-01-24
12,Mobile Premier League,0.025025025025025023,7.124613875505461e-06,0.01160845505120683,0.31834561834561836,0.000833512260438953,$2.45 ,2021/9/15,India,Internet software & services,"['Sequoia Capital India', ' RTP Global', ' Go-Ventures']",2.45,2021-09-15
13,Dutchie,0.0,0.0,1.2111361960257657e-63,0.0,0.0001624255549540131,$3.75 ,2021/3/16,United States,E-commerce & direct-to-consumer,"['Casa Verde Capital', ' Gron Ventures', ' Thrity Five Ventures']",3.75,2021-03-16
14,Next Silicon,0.006006006006006006,7.892888422453195e-05,0.002263015202685124,0.28151499979532135,0.00038664727449789506,$1.50 ,2021/6/14,Israel,Hardware,"['Amiti Ventures', ' Playground Global', ' Aleph']",1.5,2021-06-14
15,Personio,0.01001001001001001,2.7230959684101266e-07,0.0011226936751005522,0.2777291084187636,0.0006501325579498399,$6.30 ,2021/1/19,Germany,Internet software & services,"['Global Founders Capital', ' Nortzone Ventures', ' Picus Capital']",6.3,2021-01-19
16,DistroKid,0.044044044044044044,0.0005069986961488789,0.03384815724789639,0.3543398215637547,0.0012766268435984286,$1.30 ,2021/8/16,United States,Internet software & services,"['Insight Partners', ' Silversmith Capital Partners', ' Spotify']",1.3,2021-08-16
