,Degree Centrality,Betweenness Centrality,Eigen Centrality,Closeness Centrality,Page Rank,In-degree Centrality,Out-degree Centrality,Elongation,Expansion,Teacher Disciple Degree,Colleague Degree,Unidirect Density,Bidirect Density,Valuation($B) flaot_x,Year Joined,Valuation($B) flaot_y
Degree Centrality,1.0,0.6669814915792645,0.08200014060398673,0.40510279002135785,0.24807092927585733,0.736428954791038,0.7526274247127267,0.1586477579983948,0.24843597269978426,,,0.9999999999999999,,0.10907978241194902,0.02155414703320006,0.10907978241194902
Betweenness Centrality,0.6669814915792645,1.0,-0.03427542741657925,0.17208387454262883,-0.02929291502607556,0.41726475772547106,0.5739340499297785,0.1804088046542252,0.18091674331222746,,,0.6669814915792629,,0.0555847857999272,0.06649996890717984,0.0555847857999272
Eigen Centrality,0.08200014060398673,-0.03427542741657925,1.0,0.1629874264160869,0.6928513933311401,0.17596899230955867,-0.050779220003215414,-0.1118933295625381,-0.06109327346931935,,,0.0820001406039867,,-0.014555319608275072,0.06509897076828265,-0.014555319608275072
Closeness Centrality,0.40510279002135785,0.17208387454262883,0.1629874264160869,1.0,0.5843241214350324,0.7852834374396971,-0.16905704579960126,-0.4148645836142128,-0.5696129055711135,,,0.40510279002135713,,-0.13735946485296088,0.5944724643934729,-0.13735946485296088
Page Rank,0.24807092927585733,-0.02929291502607556,0.6928513933311401,0.5843241214350324,1.0,0.5692151420177678,-0.18950019386316036,-0.36364858744515066,-0.3066878603577672,,,0.24807092927585697,,-0.06771289681786745,0.27854776277585075,-0.06771289681786745
In-degree Centrality,0.736428954791038,0.41726475772547106,0.17596899230955867,0.7852834374396971,0.5692151420177678,1.0,0.10880768172392362,-0.13843830558283646,-0.2834464972245344,,,0.7364289547910362,,-0.06340090360494428,0.38746204976892507,-0.06340090360494428
Out-degree Centrality,0.7526274247127267,0.5739340499297785,-0.050779220003215414,-0.16905704579960126,-0.18950019386316036,0.10880768172392362,1.0,0.367856017652116,0.640925071259956,,,0.7526274247127263,,0.22198811824537548,-0.345442365301114,0.22198811824537548
Elongation,0.1586477579983948,0.1804088046542252,-0.1118933295625381,-0.4148645836142128,-0.36364858744515066,-0.13843830558283646,0.367856017652116,1.0,0.6300375409225901,,,0.15864775799839484,,0.13218196685462955,-0.41891468452324254,0.13218196685462955
Expansion,0.24843597269978426,0.18091674331222746,-0.06109327346931935,-0.5696129055711135,-0.3066878603577672,-0.2834464972245344,0.640925071259956,0.6300375409225901,1.0,,,0.24843597269978424,,0.2565472534051374,-0.7939510285621871,0.2565472534051374
Teacher Disciple Degree,,,,,,,,,,,,,,,,
Colleague Degree,,,,,,,,,,,,,,,,
Unidirect Density,0.9999999999999999,0.6669814915792629,0.0820001406039867,0.40510279002135713,0.24807092927585697,0.7364289547910362,0.7526274247127263,0.15864775799839484,0.24843597269978424,,,1.0,,0.10907978241194892,0.021554147033200025,0.10907978241194892
Bidirect Density,,,,,,,,,,,,,,,,
Valuation($B) flaot_x,0.10907978241194902,0.0555847857999272,-0.014555319608275072,-0.13735946485296088,-0.06771289681786745,-0.06340090360494428,0.22198811824537548,0.13218196685462955,0.2565472534051374,,,0.10907978241194892,,1.0,-0.24987605125929055,1.0
Year Joined,0.02155414703320006,0.06649996890717984,0.06509897076828265,0.5944724643934729,0.27854776277585075,0.38746204976892507,-0.345442365301114,-0.41891468452324254,-0.7939510285621871,,,0.021554147033200025,,-0.24987605125929055,1.0,-0.249876051259291
Valuation($B) flaot_y,0.10907978241194902,0.0555847857999272,-0.014555319608275072,-0.13735946485296088,-0.06771289681786745,-0.06340090360494428,0.22198811824537548,0.13218196685462955,0.2565472534051374,,,0.10907978241194892,,1.0,-0.249876051259291,1.0
