,Artificial Intelligence,Artificial intelligence,E-commerce & direct-to-consumer,Edtech,Fintech,Hardware,Internet software & services,"Supply chain, logistics, & delivery",Auto & transportation,Consumer & retail,Cybersecurity,Data management & analytics,Finttech,Health,Mobile & telecommunications,Other,Travel
Artificial Intelligence,0.0,3.0,4.0,1.0,9.0,2.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Artificial intelligence,15.0,72.0,86.0,26.0,184.0,27.0,212.0,40.0,18.0,22.0,42.0,52.0,1.0,51.0,26.0,41.0,10.0
E-commerce & direct-to-consumer,25.0,126.0,225.0,75.0,350.0,55.0,383.0,87.0,25.0,35.0,53.0,67.0,2.0,91.0,42.0,65.0,21.0
Edtech,10.0,50.0,52.0,23.0,94.0,29.0,95.0,21.0,13.0,24.0,8.0,10.0,0.0,20.0,9.0,28.0,6.0
Fintech,29.0,138.0,274.0,64.0,588.0,31.0,604.0,100.0,18.0,26.0,120.0,107.0,10.0,144.0,36.0,59.0,15.0
Hardware,10.0,30.0,40.0,12.0,77.0,13.0,84.0,22.0,10.0,9.0,19.0,25.0,0.0,30.0,12.0,23.0,4.0
Internet software & services,28.0,167.0,264.0,71.0,583.0,35.0,792.0,94.0,17.0,32.0,190.0,173.0,3.0,185.0,50.0,82.0,9.0
"Supply chain, logistics, & delivery",10.0,42.0,87.0,16.0,142.0,12.0,163.0,21.0,7.0,10.0,37.0,36.0,2.0,38.0,16.0,20.0,5.0
Auto & transportation,4.0,18.0,60.0,7.0,60.0,10.0,67.0,18.0,8.0,7.0,15.0,9.0,0.0,15.0,8.0,13.0,3.0
Consumer & retail,7.0,35.0,38.0,14.0,74.0,15.0,79.0,19.0,6.0,11.0,4.0,2.0,1.0,24.0,4.0,13.0,1.0
Cybersecurity,3.0,33.0,68.0,14.0,153.0,6.0,206.0,19.0,3.0,7.0,65.0,61.0,0.0,45.0,14.0,13.0,1.0
Data management & analytics,10.0,61.0,88.0,15.0,175.0,8.0,260.0,30.0,8.0,9.0,64.0,70.0,0.0,59.0,23.0,21.0,3.0
Finttech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Health,7.0,59.0,59.0,15.0,168.0,9.0,209.0,32.0,4.0,8.0,50.0,50.0,1.0,78.0,17.0,28.0,6.0
Mobile & telecommunications,11.0,41.0,64.0,21.0,124.0,15.0,149.0,21.0,13.0,9.0,29.0,22.0,0.0,31.0,13.0,17.0,4.0
Other,7.0,41.0,62.0,11.0,118.0,13.0,126.0,24.0,8.0,10.0,25.0,37.0,0.0,25.0,9.0,24.0,5.0
Travel,2.0,20.0,34.0,6.0,43.0,2.0,49.0,9.0,8.0,5.0,13.0,21.0,0.0,9.0,5.0,11.0,1.0
