,Company,Degree Centrality,Betweenness Centrality,Eigen Centrality,Closeness Centrality,Page Rank,In-degree Centrality,Out-degree Centrality,Elongation,Expansion,Teacher Disciple Degree,Colleague Degree,Unidirect Density,Bidirect Density
0,Zhuan Zhuan,0.052256532066508314,6.110395404592894e-05,6.27610022184644e-45,0.014107824084071114,0.000891517010958112,0.007125890736342043,0.045130641330166275,6,217,1.0,0.0,0.026066350710900472,0.0
1,Linklogis,0.052256532066508314,0.00015081250235644532,1.4160889382894599e-27,0.07383301767346469,0.0017232416498955167,0.030878859857482188,0.02137767220902613,7,64,1.0,0.0,0.026066350710900472,0.0
2,Dream11,0.0498812351543943,0.0,9.13936304087518e-16,0.14486618083496264,0.002819549756834662,0.040380047505938245,0.009501187648456057,2,5,1.0,0.0,0.024881516587677725,0.0
3,Luoji Siwei,0.1163895486935867,0.0032417934354225498,1.136940263548751e-41,0.029391300175148155,0.0011980306785640766,0.026128266033254157,0.09026128266033255,5,211,1.0,0.0,0.058056872037914695,0.0
4,Tubatu.com,0.07363420427553445,0.0,2.2502537939381647e-59,0.0,0.0008156447848967064,0.0,0.07363420427553445,7,264,1.0,0.0,0.03672985781990521,0.0
5,Yijiupi,0.052256532066508314,0.0009388078271688722,7.285761508908551e-29,0.07240451516616568,0.0015882196205766895,0.028503562945368172,0.023752969121140145,7,67,1.0,0.0,0.026066350710900472,0.0
6,Zhihu,0.061757719714964375,0.00026560342220335436,1.229208717998775e-46,0.012544536817102138,0.0009231175162133713,0.004750593824228029,0.057007125890736345,6,218,1.0,0.0,0.030805687203791468,0.0
7,BYTON,0.0498812351543943,0.0,7.195686289691405e-33,0.06707795488010662,0.0012217934225356999,0.02137767220902613,0.028503562945368172,7,70,1.0,0.0,0.024881516587677725,0.0
8,Epic Games,0.06888361045130642,0.002553451164326631,3.5305119843701885e-19,0.12368510349507976,0.002747655225574849,0.04750593824228029,0.02137767220902613,7,59,1.0,0.0,0.034360189573459717,0.0
9,Airwallex,0.12826603325415678,0.0076050387756936245,7.550456517539904e-17,0.19124019290290076,0.005375819625652991,0.10213776722090262,0.026128266033254157,6,48,1.0,0.0,0.06398104265402843,0.0
10,SoundHound,0.0498812351543943,0.0,1.6477367506708128e-31,0.06847702809698059,0.0013083449634949606,0.023752969121140145,0.026128266033254157,7,69,1.0,0.0,0.024881516587677725,0.0
11,BYJU's,0.05938242280285036,0.0016223925504549866,4.102724190736929e-40,0.03671737593153342,0.0011610871200210748,0.0166270783847981,0.04275534441805226,7,151,1.0,0.0,0.02962085308056872,0.0
12,Waterdrop,0.09263657957244656,0.0,1.9119850364249632e-05,0.2452264194314612,0.027541910196431325,0.09263657957244656,0.0,0,0,1.0,0.0,0.0462085308056872,0.0
13,Skydance Media,0.0498812351543943,0.0,2.698210591629364e-13,0.1625775802620489,0.005108137543595054,0.045130641330166275,0.004750593824228029,1,2,1.0,0.0,0.024881516587677725,0.0
14,Miaoshou Doctor,0.1163895486935867,0.0007796095809329604,2.299609830393916e-14,0.1988483122143256,0.007947198256000224,0.10688836104513065,0.009501187648456057,1,4,1.0,0.0,0.058056872037914695,0.0
15,Voodoo,0.08551068883610452,0.0002133280793782999,2.155484838914168e-06,0.20720904537702542,0.010988065509510156,0.0831353919239905,0.0023752969121140144,1,1,1.0,0.0,0.04265402843601896,0.0
16,Dxy.cn,0.061757719714964375,0.0020214518226719285,1.1752371928846975e-35,0.05603761694701634,0.0012924658664638143,0.023752969121140145,0.03800475059382423,7,142,1.0,0.0,0.030805687203791468,0.0
17,Discord,0.09026128266033255,0.007409006045986485,2.9537664110752533e-34,0.07298639602677608,0.001435509485288837,0.030878859857482188,0.05938242280285036,7,126,1.0,0.0,0.045023696682464455,0.0
18,Coocaa,0.061757719714964375,0.0029597235136766854,1.3501711622617858e-38,0.05247246814942778,0.0015841382797697231,0.023752969121140145,0.03800475059382423,7,145,1.0,0.0,0.030805687203791468,0.0
19,VIPKid,0.10451306413301663,0.0008947335262231766,2.09869152071022e-48,0.01512689086135767,0.000955096076604202,0.011876484560570073,0.09263657957244656,5,228,1.0,0.0,0.052132701421800945,0.0
20,Krafton Game Union,0.052256532066508314,0.0003845718810089356,3.5605813383141175e-30,0.07130132337970818,0.0021027081733505978,0.028503562945368172,0.023752969121140145,7,68,1.0,0.0,0.026066350710900472,0.0
21,Momenta,0.10451306413301663,0.001796330468284998,2.6335902676656087e-20,0.14572948379110767,0.0033434192437639234,0.07838479809976247,0.026128266033254157,7,62,1.0,0.0,0.052132701421800945,0.0
22,Yuanfudao,0.08551068883610452,0.0016369949572957612,2.8427284375045523e-43,0.02702560042227501,0.0010400881183062378,0.014251781472684086,0.07125890736342043,6,216,1.0,0.0,0.04265402843601896,0.0
23,Keep,0.030878859857482188,0.0,3.7925131438233253e-19,0.11574369756944694,0.003971712096208639,0.030878859857482188,0.0,0,0,1.0,0.0,0.015402843601895734,0.0
24,Automattic,0.0166270783847981,0.0,2.2502537939381647e-59,0.0,0.0008156447848967064,0.0,0.0166270783847981,7,282,1.0,0.0,0.008293838862559242,0.0
25,Lookout,0.04750593824228029,0.0023024327656156634,1.3980376770979024e-54,0.0053444180522565325,0.0009852507621238885,0.004750593824228029,0.04275534441805226,6,280,1.0,0.0,0.023696682464454975,0.0
26,Docker,0.052256532066508314,0.0005665323477371411,1.6496844589755251e-52,0.0076009501187648465,0.0010317769802965547,0.007125890736342043,0.045130641330166275,7,185,1.0,0.0,0.026066350710900472,0.0
27,Calm,0.02137767220902613,6.918523545601932e-05,5.1463024571982024e-36,0.038346028885794636,0.002331997638909167,0.019002375296912115,0.0023752969121140144,2,2,1.0,0.0,0.01066350710900474,0.0
28,WalkMe,0.011876484560570073,0.0,5.554442046053776e-42,0.01681337618182665,0.0011864979695120207,0.007125890736342043,0.004750593824228029,2,3,1.0,0.0,0.005924170616113744,0.0
29,ezCater,0.023752969121140145,4.987584899359586e-05,1.1223014622171545e-22,0.11741962794854306,0.0040219503470418855,0.02137767220902613,0.0023752969121140144,1,1,1.0,0.0,0.011848341232227487,0.0
30,BlaBlaCar,0.04750593824228029,0.0018056682188891207,1.4240636093820647e-43,0.02263518233896884,0.0012755674428468998,0.014251781472684086,0.0332541567695962,7,207,1.0,0.0,0.023696682464454975,0.0
31,Nextdoor,0.011876484560570073,0.0,7.920893354662339e-57,0.0023752969121140144,0.0009146808952679895,0.0023752969121140144,0.009501187648456057,8,208,1.0,0.0,0.005924170616113744,0.0
32,Klarna,0.10451306413301663,0.0,2.2502537939381647e-59,0.0,0.0008156447848967064,0.0,0.10451306413301663,6,305,1.0,0.0,0.052132701421800945,0.0
33,Grammarly,0.045130641330166275,0.0008333149109536861,3.41054313566504e-30,0.10289786223277911,0.0017415277025700216,0.023752969121140145,0.02137767220902613,3,16,1.0,0.0,0.022511848341232227,0.0
34,Rapyd,0.026128266033254157,0.0,6.963032396855861e-29,0.09577226116679219,0.0011628276318574402,0.011876484560570073,0.014251781472684086,3,14,1.0,0.0,0.013033175355450236,0.0
35,Samsara Networks,0.06888361045130642,0.005535461105264474,6.924318105074161e-33,0.09052520453945632,0.0012043763337171505,0.023752969121140145,0.045130641330166275,5,137,1.0,0.0,0.034360189573459717,0.0
36,Ro,0.030878859857482188,0.0006445304434785262,2.8323237934613763e-12,0.16680522565320666,0.0035000380438279226,0.023752969121140145,0.007125890736342043,3,9,1.0,0.0,0.015402843601895734,0.0
37,SoFi,0.030878859857482188,0.00012953872090281995,7.920893354662339e-57,0.0023752969121140144,0.0008314005297285014,0.0023752969121140144,0.028503562945368172,7,242,1.0,0.0,0.015402843601895734,0.0
38,Cazoo,0.026128266033254157,0.0,2.494398348403402e-26,0.0985316346361477,0.0015532863388886026,0.0166270783847981,0.009501187648456057,3,12,1.0,0.0,0.013033175355450236,0.0
39,Glossier,0.0332541567695962,0.001488217752851278,3.822512112096628e-37,0.038027372469177693,0.002033595197842952,0.0166270783847981,0.0166270783847981,4,30,1.0,0.0,0.016587677725118485,0.0
40,Hopin,0.05463182897862233,0.000609716961769897,0.014104693849315276,0.24431917905994405,0.027404168223969703,0.0498812351543943,0.004750593824228029,1,2,1.0,0.0,0.027251184834123223,0.0
41,ClassPass,0.026128266033254157,0.0,1.3503460084311037e-27,0.09714892173071785,0.001327574144836642,0.014251781472684086,0.011876484560570073,3,13,1.0,0.0,0.013033175355450236,0.0
42,C3.ai,0.011876484560570073,1.9053543824497335e-05,2.0409511666083983e-48,0.00831353919239905,0.0008922928715917331,0.004750593824228029,0.007125890736342043,8,134,1.0,0.0,0.005924170616113744,0.0
43,FiveTran,0.08076009501187649,0.001441039088222666,2.610504135909492e-13,0.21131434708360947,0.005932869691276271,0.07125890736342043,0.009501187648456057,3,11,1.0,0.0,0.04028436018957346,0.0
44,Amplitude,0.04750593824228029,0.0009000944660264204,2.1367610952314534e-09,0.21237206145784834,0.007422343068581264,0.04275534441805226,0.004750593824228029,2,4,1.0,0.0,0.023696682464454975,0.0
45,Ziroom,0.10451306413301663,0.011415530087035506,2.960703519328053e-34,0.06803060327292292,0.0016174543554229987,0.035629453681710214,0.06888361045130642,5,188,1.0,0.0,0.052132701421800945,0.0
46,Circle Internet Financial,0.061757719714964375,0.004758771022952812,1.5819003966524707e-31,0.08106815399706534,0.0009960502581158734,0.009501187648456057,0.052256532066508314,8,116,1.0,0.0,0.030805687203791468,0.0
47,Zenefits,0.030878859857482188,0.0004517362703653847,1.4059360679146248e-54,0.007125890736342043,0.0010289385325837571,0.007125890736342043,0.023752969121140145,9,170,1.0,0.0,0.015402843601895734,0.0
48,Applied Intuition,0.06888361045130642,0.000576154277800019,0.000200775193908257,0.24191377037856732,0.016198355200661874,0.0665083135391924,0.0023752969121140144,3,4,1.0,0.0,0.034360189573459717,0.0
49,Eightfold.ai,0.04275534441805226,0.00044592839996690384,0.0016920036720234567,0.21799979244978437,0.021550305511286456,0.040380047505938245,0.0023752969121140144,2,3,1.0,0.0,0.02132701421800948,0.0
50,Dataminr,0.05938242280285036,0.002494979060766302,1.3107699773112674e-38,0.03860800060325001,0.0014346953902836328,0.023752969121140145,0.035629453681710214,8,163,1.0,0.0,0.02962085308056872,0.0
51,Deliveroo,0.061757719714964375,0.0037747358890968226,5.696848406989191e-42,0.023175194196571866,0.0010596183970796418,0.011876484560570073,0.0498812351543943,6,204,1.0,0.0,0.030805687203791468,0.0
52,Procore,0.030878859857482188,0.0010745390792896731,7.920893354662339e-57,0.0023752969121140144,0.0015088975574956884,0.0023752969121140144,0.028503562945368172,7,190,1.0,0.0,0.015402843601895734,0.0
53,Sila Nanotechnologies,0.040380047505938245,0.0004899410998834141,1.0643966132088057e-22,0.1090003720344561,0.001578436036323656,0.023752969121140145,0.0166270783847981,4,22,1.0,0.0,0.02014218009478673,0.0
54,Toss,0.0665083135391924,0.0035365178845837147,6.607929618356627e-24,0.10564442593238847,0.0016927817400878885,0.030878859857482188,0.035629453681710214,4,45,1.0,0.0,0.03317535545023697,0.0
55,Toast,0.09263657957244656,0.008040808884463447,1.3486816900399682e-27,0.09391629380029091,0.0017030313052841556,0.0332541567695962,0.05938242280285036,10,133,1.0,0.0,0.0462085308056872,0.0
56,Quora,0.04275534441805226,0.000842857515745198,2.7802560700244214e-54,0.0053444180522565325,0.0010048990930547198,0.004750593824228029,0.03800475059382423,6,217,1.0,0.0,0.02132701421800948,0.0
57,BigBasket,0.05463182897862233,0.001174777980003633,1.6477539929225544e-21,0.1178628341200878,0.002808620593537353,0.040380047505938245,0.014251781472684086,4,13,1.0,0.0,0.027251184834123223,0.0
58,Bright Health,0.06888361045130642,0.0,2.5653318624357373e-15,0.20182187721918848,0.008707002449473152,0.06888361045130642,0.0,0,0,1.0,0.0,0.034360189573459717,0.0
59,Didi Chuxing,0.045130641330166275,0.00047461951262426315,1.58192841713853e-56,0.004750593824228029,0.0010120664037997513,0.004750593824228029,0.040380047505938245,6,222,1.0,0.0,0.022511848341232227,0.0
60,ACV Auctions,0.0332541567695962,0.00026886817012368414,3.5416384742466884e-19,0.11913371524381723,0.0026591625147273333,0.023752969121140145,0.009501187648456057,4,10,1.0,0.0,0.016587677725118485,0.0
61,Rocket Lab,0.05938242280285036,0.0017269779197162981,1.179123431199337e-46,0.0171021377672209,0.0010949293524752412,0.011876484560570073,0.04750593824228029,6,189,1.0,0.0,0.02962085308056872,0.0
62,ServiceTitan,0.057007125890736345,0.0037019474574615393,4.144285347920711e-25,0.10745940429254425,0.001441066385150945,0.019002375296912115,0.03800475059382423,10,117,1.0,0.0,0.02843601895734597,0.0
63,Wildlife Studios,0.03800475059382423,0.00042148830068748644,6.589122007975969e-17,0.15813719139134816,0.004265543029091571,0.0332541567695962,0.004750593824228029,3,6,1.0,0.0,0.018957345971563982,0.0
64,Canva,0.07600950118764846,0.0014017930598351365,1.1369880335057786e-35,0.04829770387965163,0.0013726568352429316,0.030878859857482188,0.045130641330166275,5,189,1.0,0.0,0.037914691943127965,0.0
65,Auth0,0.0332541567695962,0.00013290351770161747,2.4552993098189337e-20,0.1172718018323719,0.003073923470558432,0.023752969121140145,0.009501187648456057,4,11,1.0,0.0,0.016587677725118485,0.0
66,TechStyle Fashion Group,0.011876484560570073,0.0,2.2502537939381647e-59,0.0,0.0008156447848967064,0.0,0.011876484560570073,6,223,1.0,0.0,0.005924170616113744,0.0
67,Starry,0.030878859857482188,0.00010499463587349574,5.862539765081654e-45,0.013830357826986437,0.0009690741058587027,0.004750593824228029,0.026128266033254157,10,134,1.0,0.0,0.015402843601895734,0.0
68,Guild Education,0.03800475059382423,0.00022413630871384523,4.912273549860564e-18,0.12308822775508808,0.0034351881678730553,0.030878859857482188,0.007125890736342043,4,8,1.0,0.0,0.018957345971563982,0.0
69,Graphcore,0.011876484560570073,5.6554688383667005e-05,1.3901392862811797e-54,0.003167062549485352,0.0012432126180187697,0.0023752969121140144,0.009501187648456057,3,10,1.0,0.0,0.005924170616113744,0.0
70,Via Transportation,0.019002375296912115,0.0018238887003732608,1.7468188236897623e-09,0.0874378913390885,0.0037258970505015115,0.014251781472684086,0.004750593824228029,2,3,1.0,0.0,0.009478672985781991,0.0
71,AppsFlyer,0.009501187648456057,0.0017607359650114996,1.768132261171485e-10,0.08521131476426261,0.001918472515614221,0.007125890736342043,0.0023752969121140144,3,4,1.0,0.0,0.004739336492890996,0.0
72,VAST Data,0.05463182897862233,0.001158538501175081,2.3584548420625092e-07,0.1734831118809793,0.005293814264261987,0.04750593824228029,0.007125890736342043,2,4,1.0,0.0,0.027251184834123223,0.0
73,Formlabs,0.009501187648456057,6.221015722203371e-05,7.920893354662339e-57,0.0023752969121140144,0.0015088975574956884,0.0023752969121140144,0.007125890736342043,4,11,1.0,0.0,0.004739336492890996,0.0
74,Redis Labs,0.011876484560570073,0.0,2.153363856712209e-06,0.16315394523817964,0.0036209866546968662,0.011876484560570073,0.0,0,0,1.0,0.0,0.005924170616113744,0.0
75,Womai,0.052256532066508314,0.0012315525248168615,6.20239429029041e-47,0.015254684613354448,0.0009350650139863493,0.007125890736342043,0.045130641330166275,6,222,1.0,0.0,0.026066350710900472,0.0
76,Orbbec Technology,0.004750593824228029,0.0,3.1100214141957154e-45,0.01221581269087207,0.0008574761153988842,0.0023752969121140144,0.0023752969121140144,2,2,1.0,0.0,0.002369668246445498,0.0
77,Biren Techonology,0.040380047505938245,5.6554688383667e-06,1.3490397058289832e-17,0.15957714678999185,0.005531794711829306,0.03800475059382423,0.0023752969121140144,1,1,1.0,0.0,0.02014218009478673,0.0
78,Omio,0.05938242280285036,0.004014483879176787,2.2926737600675224e-31,0.05588933910856504,0.0017226711955742576,0.028503562945368172,0.030878859857482188,10,119,1.0,0.0,0.02962085308056872,0.0
79,Pendo,0.019002375296912115,0.0,1.6446156142309498e-12,0.16104287561261613,0.001618259189226491,0.014251781472684086,0.004750593824228029,3,6,1.0,0.0,0.009478672985781991,0.0
80,Sisense,0.023752969121140145,5.6554688383667005e-05,2.1312688112120393e-10,0.16627451859155348,0.002868666519909906,0.02137767220902613,0.0023752969121140144,3,5,1.0,0.0,0.011848341232227487,0.0
81,Sprinklr,0.026128266033254157,0.0,2.2502537939381647e-59,0.0,0.0008156447848967064,0.0,0.026128266033254157,8,258,1.0,0.0,0.013033175355450236,0.0
82,Databricks,0.10213776722090262,0.003943158774767189,1.1186231355620506e-22,0.15164111423018783,0.0026123177963313896,0.06413301662707839,0.03800475059382423,3,45,1.0,0.0,0.0509478672985782,0.0
83,Collibra,0.05463182897862233,0.0040758317327709934,6.953606502588501e-24,0.1279518123621955,0.0016575632315758754,0.023752969121140145,0.030878859857482188,9,105,1.0,0.0,0.027251184834123223,0.0
84,StockX,0.07600950118764846,0.005079978638110706,1.5086050427917382e-13,0.20655348311981622,0.0035657334268629094,0.052256532066508314,0.023752969121140145,3,19,1.0,0.0,0.037914691943127965,0.0
85,17zuoye,0.04275534441805226,0.0020087269152219227,5.344305944329502e-36,0.041776214393211365,0.001476701674515785,0.014251781472684086,0.028503562945368172,6,127,1.0,0.0,0.02132701421800948,0.0
86,Udaan,0.052256532066508314,0.0018252937831054728,3.3860511576537994e-29,0.08393161821284,0.0012795835711111184,0.0166270783847981,0.035629453681710214,6,115,1.0,0.0,0.026066350710900472,0.0
87,Robinhood,0.0997624703087886,0.004273402118746626,2.058002204399215e-40,0.04436526788070731,0.0011024338980003617,0.019002375296912115,0.08076009501187649,5,180,1.0,0.0,0.04976303317535545,0.0
88,Revolut,0.0332541567695962,0.00011887256882166956,1.332994320736527e-34,0.03906224579442293,0.0009478230050788601,0.004750593824228029,0.028503562945368172,6,123,1.0,0.0,0.016587677725118485,0.0
89,Cars24,0.026128266033254157,0.0,3.786857656805931e-11,0.20450579281593873,0.013534614766238002,0.026128266033254157,0.0,0,0,1.0,0.0,0.013033175355450236,0.0
90,Impossible Foods,0.0498812351543943,0.000596066217460856,3.9086250806498795e-25,0.09450196220179698,0.003760687770684735,0.045130641330166275,0.004750593824228029,3,7,1.0,0.0,0.024881516587677725,0.0
91,Checkout.com,0.045130641330166275,0.009875908396021899,1.2311128653803072e-14,0.16237626149969253,0.002243778936255923,0.02137767220902613,0.023752969121140145,5,40,1.0,0.0,0.022511848341232227,0.0
92,Improbable,0.10451306413301663,0.004116358976564716,6.568610441512958e-39,0.04464635749371584,0.0013401887108065382,0.023752969121140145,0.08076009501187649,5,177,1.0,0.0,0.052132701421800945,0.0
93,Rappi,0.12589073634204276,0.0070416906294158785,1.7396420680064242e-30,0.0991072159882054,0.0020536123787153996,0.061757719714964375,0.06413301662707839,6,122,1.0,0.0,0.06279620853080568,0.0
94,BillDesk,0.0166270783847981,0.0,1.3863060105740717e-34,0.038020585906571654,0.001553755402488684,0.014251781472684086,0.0023752969121140144,4,8,1.0,0.0,0.008293838862559242,0.0
95,Poizon,0.09501187648456058,0.0070263192599462725,9.800451587560877e-16,0.2022884581002733,0.004624756705487732,0.07600950118764846,0.019002375296912115,6,46,1.0,0.0,0.04739336492890995,0.0
96,VANCL,0.019002375296912115,0.0,2.2502537939381647e-59,0.0,0.0008156447848967064,0.0,0.019002375296912115,7,316,1.0,0.0,0.009478672985781991,0.0
97,AvidXchange,0.026128266033254157,0.0008819703653432868,1.9163498987278907e-37,0.03618641985420591,0.001466850650168779,0.0166270783847981,0.009501187648456057,7,129,1.0,0.0,0.013033175355450236,0.0
98,iTutorGroup,0.019002375296912115,0.0003123299992997991,4.170372853767664e-54,0.0076009501187648465,0.0010745864738819352,0.007125890736342043,0.011876484560570073,6,178,1.0,0.0,0.009478672985781991,0.0
99,Kavak,0.07125890736342043,0.0002570444250542656,3.4185732445263846e-12,0.22875796134785562,0.01280278036471793,0.06888361045130642,0.0023752969121140144,1,1,1.0,0.0,0.035545023696682464,0.0
100,Fanatics,0.10451306413301663,0.001305856652830828,1.58192841713853e-56,0.004750593824228029,0.0009338128711351692,0.004750593824228029,0.0997624703087886,6,304,1.0,0.0,0.052132701421800945,0.0
101,Brex,0.035629453681710214,0.0005346748994950557,6.56366850573786e-28,0.07960673561885524,0.0011521417839149256,0.011876484560570073,0.023752969121140145,6,54,1.0,0.0,0.017772511848341232,0.0
