,Degree Centrality,Betweenness Centrality,Eigen Centrality,Closeness Centrality,Page Rank
Buzzfeed,0.042,0.0029510498970051727,0.010571578548929433,0.3101362007168459,0.0028041351108962238
Cgtz,0.008,0.0,0.0063717577022300315,0.2439126145172657,0.0010001967872062625
Epic Games,0.058,0.005978948864838735,0.08352501136136496,0.30307530647985986,0.0033693735904494213
OYO Rooms,0.046,0.004719078048068422,0.019314967953050016,0.3118126126126126,0.002731339506791342
Udemy,0.03,0.003114591084225694,0.003831766728082209,0.26955763239875385,0.0026175884586793242
Delhivery,0.044,0.0009257957938254602,0.017037608950579108,0.3022812227074236,0.002565919105868218
China Cloud,0.0,0.0,1.4904225079203465e-107,0.0,0.0003457416157668141
Amplitude,0.04,0.004746272382669981,0.013148730896187745,0.3299447092469018,0.0026502664718289787
AppDirect,0.002,0.0,1.1423101288788862e-06,0.15876697247706423,0.0007465115955757895
Duolingo,0.056,0.012767345011469833,0.012569828109765502,0.32529323308270675,0.0037763131724282977
BenevolentAI,0.0,0.0,1.4904225079203465e-107,0.0,0.0003457416157668141
o9 Solutions,0.016,0.0,0.005200641603786305,0.26141389728096676,0.0013837669855210058
Riskified,0.006,0.0010671131403275503,0.0002432050551931902,0.22460220635950678,0.0009850140927314414
Celonis,0.038,0.012477709664558068,0.006032574668572824,0.2877073981712385,0.0030779936734795345
Payoneer,0.012,0.0019502869002790823,0.00110797444179913,0.2396897506925208,0.0015925582573526349
Glossier,0.028,0.003684583666426695,0.006163763311482602,0.3001838681699913,0.0022099424962824872
Roivant Sciences,0.02,0.001174796890780567,0.003412518437343603,0.28002588996763755,0.0016154285052372317
Jiuxian,0.054,0.0,0.1468771420160002,0.3054827890556046,0.002755131032254397
Chime,0.006,0.0,0.0013454975189505255,0.24882242990654202,0.0007682361996128529
Ola Cabs,0.092,0.007109085351383513,0.04018008439360259,0.33570514064015516,0.004806281880795362
Royole Corporation,0.002,0.0,0.00016460961090725701,0.1766778968861664,0.0008377434337036606
Zwift,0.0,0.0,1.4904225079203465e-107,0.0,0.0003457416157668141
VANCL,0.016,0.0002709181733810943,0.004393916320024751,0.26624,0.0013341721095966985
Zhubajie,0.032,0.0,0.04303623097338575,0.27666826538768985,0.0019200918090921393
OrCam Technologies,0.006,0.0,0.000292940771925405,0.22666142763588734,0.0009041266291986047
Otto Bock HealthCare,0.0,0.0,1.4904225079203465e-107,0.0,0.0003457416157668141
