,source,target,weight
0,Australia,Australia,1
1,Australia,China,39
2,Australia,France,1
3,Australia,Hong Kong,3
4,Australia,India,2
5,Australia,Mexico,1
6,Australia,United Kingdom,1
7,Australia,United States,8
8,Australia,Colombia,1
9,Australia,South Korea,1
10,China,Brazil,4
11,China,China,582
12,China,Colombia,1
13,China,France,2
14,China,Germany,3
15,China,Hong Kong,26
16,China,India,31
17,China,Indonesia,9
18,China,Israel,1
19,China,Japan,3
20,China,Mexico,2
21,China,Portugal,2
22,China,Singapore,8
23,China,South Korea,7
24,China,Sweden,4
25,China,Switzerland,1
26,China,United Kingdom,6
27,China,United States,108
28,France,Lithuania,1
29,France,Netherlands,1
30,France,Portugal,1
31,France,United Kingdom,4
32,France,United States,24
33,France,Germany,2
34,France,Hong Kong,1
35,France,India,4
36,France,Indonesia,1
37,France,Israel,3
38,France,South Korea,2
39,France,Sweden,1
40,France,Switzerland,1
41,Hong Kong,Hong Kong,1
42,Hong Kong,Israel,1
43,Hong Kong,South Korea,1
44,Hong Kong,Sweden,1
45,Hong Kong,Switzerland,1
46,Hong Kong,United States,8
47,Hong Kong,India,1
48,India,Brazil,7
49,India,Colombia,2
50,India,Germany,1
51,India,India,27
52,India,Indonesia,8
53,India,Israel,2
54,India,Japan,2
55,India,Mexico,1
56,India,South Korea,4
57,India,Sweden,2
58,India,Switzerland,1
59,India,United Kingdom,14
60,India,United States,97
61,India,Netherlands,1
62,Mexico,Brazil,1
63,Mexico,Colombia,1
64,Mexico,Germany,1
65,Mexico,United Kingdom,4
66,Mexico,United States,12
67,United Kingdom,Brazil,3
68,United Kingdom,Colombia,2
69,United Kingdom,Germany,1
70,United Kingdom,Israel,2
71,United Kingdom,Lithuania,1
72,United Kingdom,Netherlands,1
73,United Kingdom,Sweden,3
74,United Kingdom,Portugal,1
75,United Kingdom,Switzerland,1
76,United Kingdom,United Kingdom,6
77,United Kingdom,United States,52
78,United States,Brazil,48
79,United States,Canada,1
80,United States,Colombia,16
81,United States,Germany,33
82,United States,Indonesia,1
83,United States,Israel,26
84,United States,Japan,16
85,United States,Lithuania,8
86,United States,Netherlands,18
87,United States,Portugal,4
88,United States,Singapore,7
89,United States,South Korea,33
90,United States,Sweden,7
91,United States,Switzerland,9
92,United States,United States,1364
93,United States,Uruguay,1
94,Brazil,Brazil,1
95,Brazil,Colombia,1
96,Brazil,Japan,1
97,Brazil,South Korea,3
98,Brazil,Germany,3
99,Brazil,Sweden,2
100,Colombia,Japan,1
101,Colombia,South Korea,1
102,Colombia,Sweden,1
103,Japan,Germany,1
104,Japan,Netherlands,1
105,Japan,South Korea,2
106,Japan,Sweden,1
107,South Korea,Israel,1
108,South Korea,South Korea,2
109,South Korea,Sweden,2
110,South Korea,Switzerland,1
111,Germany,Germany,1
112,Germany,Lithuania,1
113,Germany,Netherlands,2
114,Germany,Spain,1
115,Germany,Sweden,2
116,Indonesia,Indonesia,1
117,Indonesia,Philippines,1
118,Israel,Israel,2
119,Israel,Lithuania,2
120,Israel,Switzerland,2
121,Israel,Sweden,1
122,Sweden,Switzerland,1
123,Switzerland,Lithuania,1
124,Lithuania,Netherlands,1
125,Spain,Spain,1
