	source	target	weight
0	Artificial Intelligence	Artificial intelligence	3
1	Artificial Intelligence	E-commerce & direct-to-consumer	4
2	Artificial Intelligence	Edtech	1
3	Artificial Intelligence	Fintech	9
4	Artificial Intelligence	Hardware	2
5	Artificial Intelligence	Internet software & services	10
6	Artificial Intelligence	Supply chain, logistics, & delivery	1
7	Artificial intelligence	Artificial Intelligence	15
8	Artificial intelligence	Artificial intelligence	72
9	Artificial intelligence	Auto & transportation	18
10	Artificial intelligence	Consumer & retail	22
11	Artificial intelligence	Cybersecurity	42
12	Artificial intelligence	Data management & analytics	52
13	Artificial intelligence	E-commerce & direct-to-consumer	86
14	Artificial intelligence	Edtech	26
15	Artificial intelligence	Fintech	184
16	Artificial intelligence	Finttech	1
17	Artificial intelligence	Hardware	27
18	Artificial intelligence	Health	51
19	Artificial intelligence	Internet software & services	212
20	Artificial intelligence	Mobile & telecommunications	26
21	Artificial intelligence	Other	41
22	Artificial intelligence	Supply chain, logistics, & delivery	40
23	Artificial intelligence	Travel	10
24	Auto & transportation	Artificial Intelligence	4
25	Auto & transportation	Artificial intelligence	18
26	Auto & transportation	Auto & transportation	8
27	Auto & transportation	Consumer & retail	7
28	Auto & transportation	Cybersecurity	15
29	Auto & transportation	Data management & analytics	9
30	Auto & transportation	E-commerce & direct-to-consumer	60
31	Auto & transportation	Edtech	7
32	Auto & transportation	Fintech	60
33	Auto & transportation	Hardware	10
34	Auto & transportation	Health	15
35	Auto & transportation	Internet software & services	67
36	Auto & transportation	Mobile & telecommunications	8
37	Auto & transportation	Other	13
38	Auto & transportation	Supply chain, logistics, & delivery	18
39	Auto & transportation	Travel	3
40	Consumer & retail	Artificial Intelligence	7
41	Consumer & retail	Artificial intelligence	35
42	Consumer & retail	Auto & transportation	6
43	Consumer & retail	Consumer & retail	11
44	Consumer & retail	Cybersecurity	4
45	Consumer & retail	Data management & analytics	2
46	Consumer & retail	E-commerce & direct-to-consumer	38
47	Consumer & retail	Edtech	14
48	Consumer & retail	Fintech	74
49	Consumer & retail	Finttech	1
50	Consumer & retail	Hardware	15
51	Consumer & retail	Health	24
52	Consumer & retail	Internet software & services	79
53	Consumer & retail	Mobile & telecommunications	4
54	Consumer & retail	Other	13
55	Consumer & retail	Supply chain, logistics, & delivery	19
56	Consumer & retail	Travel	1
57	Cybersecurity	Artificial Intelligence	3
58	Cybersecurity	Artificial intelligence	33
59	Cybersecurity	Auto & transportation	3
60	Cybersecurity	Consumer & retail	7
61	Cybersecurity	Cybersecurity	65
62	Cybersecurity	Data management & analytics	61
63	Cybersecurity	E-commerce & direct-to-consumer	68
64	Cybersecurity	Edtech	14
65	Cybersecurity	Fintech	153
66	Cybersecurity	Hardware	6
67	Cybersecurity	Health	45
68	Cybersecurity	Internet software & services	206
69	Cybersecurity	Mobile & telecommunications	14
70	Cybersecurity	Other	13
71	Cybersecurity	Supply chain, logistics, & delivery	19
72	Cybersecurity	Travel	1
73	Data management & analytics	Artificial Intelligence	10
74	Data management & analytics	Artificial intelligence	61
75	Data management & analytics	Auto & transportation	8
76	Data management & analytics	Consumer & retail	9
77	Data management & analytics	Cybersecurity	64
78	Data management & analytics	Data management & analytics	70
79	Data management & analytics	E-commerce & direct-to-consumer	88
80	Data management & analytics	Edtech	15
81	Data management & analytics	Fintech	175
82	Data management & analytics	Hardware	8
83	Data management & analytics	Health	59
84	Data management & analytics	Internet software & services	260
85	Data management & analytics	Mobile & telecommunications	23
86	Data management & analytics	Other	21
87	Data management & analytics	Supply chain, logistics, & delivery	30
88	Data management & analytics	Travel	3
89	E-commerce & direct-to-consumer	Artificial Intelligence	25
90	E-commerce & direct-to-consumer	Artificial intelligence	126
91	E-commerce & direct-to-consumer	Auto & transportation	25
92	E-commerce & direct-to-consumer	Consumer & retail	35
93	E-commerce & direct-to-consumer	Cybersecurity	53
94	E-commerce & direct-to-consumer	Data management & analytics	67
95	E-commerce & direct-to-consumer	E-commerce & direct-to-consumer	225
96	E-commerce & direct-to-consumer	Edtech	75
97	E-commerce & direct-to-consumer	Fintech	350
98	E-commerce & direct-to-consumer	Finttech	2
99	E-commerce & direct-to-consumer	Hardware	55
100	E-commerce & direct-to-consumer	Health	91
101	E-commerce & direct-to-consumer	Internet software & services	383
102	E-commerce & direct-to-consumer	Mobile & telecommunications	42
103	E-commerce & direct-to-consumer	Other	65
104	E-commerce & direct-to-consumer	Supply chain, logistics, & delivery	87
105	E-commerce & direct-to-consumer	Travel	21
106	Edtech	Artificial Intelligence	10
107	Edtech	Artificial intelligence	50
108	Edtech	Auto & transportation	13
109	Edtech	Consumer & retail	24
110	Edtech	Cybersecurity	8
111	Edtech	Data management & analytics	10
112	Edtech	E-commerce & direct-to-consumer	52
113	Edtech	Edtech	23
114	Edtech	Fintech	94
115	Edtech	Hardware	29
116	Edtech	Health	20
117	Edtech	Internet software & services	95
118	Edtech	Mobile & telecommunications	9
119	Edtech	Other	28
120	Edtech	Supply chain, logistics, & delivery	21
121	Edtech	Travel	6
122	Fintech	Artificial Intelligence	29
123	Fintech	Artificial intelligence	138
124	Fintech	Auto & transportation	18
125	Fintech	Consumer & retail	26
126	Fintech	Cybersecurity	120
127	Fintech	Data management & analytics	107
128	Fintech	E-commerce & direct-to-consumer	274
129	Fintech	Edtech	64
130	Fintech	Fintech	588
131	Fintech	Finttech	10
132	Fintech	Hardware	31
133	Fintech	Health	144
134	Fintech	Internet software & services	604
135	Fintech	Mobile & telecommunications	36
136	Fintech	Other	59
137	Fintech	Supply chain, logistics, & delivery	100
138	Fintech	Travel	15
139	Hardware	Artificial Intelligence	10
140	Hardware	Artificial intelligence	30
141	Hardware	Auto & transportation	10
142	Hardware	Consumer & retail	9
143	Hardware	Cybersecurity	19
144	Hardware	Data management & analytics	25
145	Hardware	E-commerce & direct-to-consumer	40
146	Hardware	Edtech	12
147	Hardware	Fintech	77
148	Hardware	Hardware	13
149	Hardware	Health	30
150	Hardware	Internet software & services	84
151	Hardware	Mobile & telecommunications	12
152	Hardware	Other	23
153	Hardware	Supply chain, logistics, & delivery	22
154	Hardware	Travel	4
155	Health	Artificial Intelligence	7
156	Health	Artificial intelligence	59
157	Health	Auto & transportation	4
158	Health	Consumer & retail	8
159	Health	Cybersecurity	50
160	Health	Data management & analytics	50
161	Health	E-commerce & direct-to-consumer	59
162	Health	Edtech	15
163	Health	Fintech	168
164	Health	Finttech	1
165	Health	Hardware	9
166	Health	Health	78
167	Health	Internet software & services	209
168	Health	Mobile & telecommunications	17
169	Health	Other	28
170	Health	Supply chain, logistics, & delivery	32
171	Health	Travel	6
172	Internet software & services	Artificial Intelligence	28
173	Internet software & services	Artificial intelligence	167
174	Internet software & services	Auto & transportation	17
175	Internet software & services	Consumer & retail	32
176	Internet software & services	Cybersecurity	190
177	Internet software & services	Data management & analytics	173
178	Internet software & services	E-commerce & direct-to-consumer	264
179	Internet software & services	Edtech	71
180	Internet software & services	Fintech	583
181	Internet software & services	Finttech	3
182	Internet software & services	Hardware	35
183	Internet software & services	Health	185
184	Internet software & services	Internet software & services	792
185	Internet software & services	Mobile & telecommunications	50
186	Internet software & services	Other	82
187	Internet software & services	Supply chain, logistics, & delivery	94
188	Internet software & services	Travel	9
189	Mobile & telecommunications	Artificial Intelligence	11
190	Mobile & telecommunications	Artificial intelligence	41
191	Mobile & telecommunications	Auto & transportation	13
192	Mobile & telecommunications	Consumer & retail	9
193	Mobile & telecommunications	Cybersecurity	29
194	Mobile & telecommunications	Data management & analytics	22
195	Mobile & telecommunications	E-commerce & direct-to-consumer	64
196	Mobile & telecommunications	Edtech	21
197	Mobile & telecommunications	Fintech	124
198	Mobile & telecommunications	Hardware	15
199	Mobile & telecommunications	Health	31
200	Mobile & telecommunications	Internet software & services	149
201	Mobile & telecommunications	Mobile & telecommunications	13
202	Mobile & telecommunications	Other	17
203	Mobile & telecommunications	Supply chain, logistics, & delivery	21
