,source,target,weight
0,Artificial intelligence,Artificial intelligence,20
1,Artificial intelligence,Auto & transportation,10
2,Artificial intelligence,Consumer & retail,8
3,Artificial intelligence,Cybersecurity,6
4,Artificial intelligence,Data management & analytics,10
5,Artificial intelligence,E-commerce & direct-to-consumer,35
6,Artificial intelligence,Edtech,11
7,Artificial intelligence,Education,2
8,Artificial intelligence,Fintech,29
9,Artificial intelligence,Hardware,13
10,Artificial intelligence,Health,18
11,Artificial intelligence,Internet software & services,41
12,Artificial intelligence,Mobile & telecommunications,14
13,Artificial intelligence,Other,17
14,Artificial intelligence,"Supply chain, logistics, & delivery",14
15,Artificial intelligence,Travel,10
16,Auto & transportation,Artificial intelligence,14
17,Auto & transportation,Auto & transportation,12
18,Auto & transportation,Consumer & retail,2
19,Auto & transportation,Cybersecurity,6
20,Auto & transportation,Data management & analytics,9
21,Auto & transportation,E-commerce & direct-to-consumer,32
22,Auto & transportation,Edtech,3
23,Auto & transportation,Fintech,19
24,Auto & transportation,Hardware,7
25,Auto & transportation,Health,6
26,Auto & transportation,Internet software & services,32
27,Auto & transportation,Mobile & telecommunications,11
28,Auto & transportation,Other,11
29,Auto & transportation,"Supply chain, logistics, & delivery",7
30,Auto & transportation,Travel,8
31,Consumer & retail,Artificial intelligence,5
32,Consumer & retail,Auto & transportation,5
33,Consumer & retail,Consumer & retail,2
34,Consumer & retail,Cybersecurity,2
35,Consumer & retail,Data management & analytics,2
36,Consumer & retail,E-commerce & direct-to-consumer,9
37,Consumer & retail,Edtech,1
38,Consumer & retail,Fintech,14
39,Consumer & retail,Hardware,1
40,Consumer & retail,Health,1
41,Consumer & retail,Internet software & services,14
42,Consumer & retail,Mobile & telecommunications,3
43,Consumer & retail,"Supply chain, logistics, & delivery",2
44,Cybersecurity,Artificial intelligence,9
45,Cybersecurity,Auto & transportation,11
46,Cybersecurity,Consumer & retail,1
47,Cybersecurity,Cybersecurity,5
48,Cybersecurity,Data management & analytics,5
49,Cybersecurity,E-commerce & direct-to-consumer,16
50,Cybersecurity,Edtech,1
51,Cybersecurity,Fintech,19
52,Cybersecurity,Hardware,4
53,Cybersecurity,Health,11
54,Cybersecurity,Internet software & services,26
55,Cybersecurity,Mobile & telecommunications,7
56,Cybersecurity,Other,8
57,Cybersecurity,"Supply chain, logistics, & delivery",11
58,Cybersecurity,Travel,2
59,Data management & analytics,Artificial intelligence,23
60,Data management & analytics,Auto & transportation,18
61,Data management & analytics,Consumer & retail,3
62,Data management & analytics,Cybersecurity,15
63,Data management & analytics,Data management & analytics,21
64,Data management & analytics,E-commerce & direct-to-consumer,39
65,Data management & analytics,Edtech,7
66,Data management & analytics,Education,1
67,Data management & analytics,Fintech,35
68,Data management & analytics,Hardware,12
69,Data management & analytics,Health,15
70,Data management & analytics,Internet software & services,41
71,Data management & analytics,Mobile & telecommunications,13
72,Data management & analytics,Other,14
73,Data management & analytics,"Supply chain, logistics, & delivery",26
74,Data management & analytics,Travel,9
75,E-commerce & direct-to-consumer,Artificial intelligence,53
76,E-commerce & direct-to-consumer,Auto & transportation,30
77,E-commerce & direct-to-consumer,Consumer & retail,6
78,E-commerce & direct-to-consumer,Cybersecurity,7
79,E-commerce & direct-to-consumer,Data management & analytics,12
80,E-commerce & direct-to-consumer,E-commerce & direct-to-consumer,81
81,E-commerce & direct-to-consumer,Edtech,24
82,E-commerce & direct-to-consumer,Fintech,59
83,E-commerce & direct-to-consumer,Hardware,28
84,E-commerce & direct-to-consumer,Health,11
85,E-commerce & direct-to-consumer,Internet software & services,51
86,E-commerce & direct-to-consumer,Mobile & telecommunications,31
87,E-commerce & direct-to-consumer,Other,21
88,E-commerce & direct-to-consumer,"Supply chain, logistics, & delivery",21
89,E-commerce & direct-to-consumer,Travel,15
90,Edtech,Artificial intelligence,26
91,Edtech,Auto & transportation,9
92,Edtech,Consumer & retail,7
93,Edtech,Cybersecurity,1
94,Edtech,Data management & analytics,1
95,Edtech,E-commerce & direct-to-consumer,43
96,Edtech,Edtech,14
97,Edtech,Education,1
98,Edtech,Fintech,32
99,Edtech,Hardware,9
100,Edtech,Health,4
101,Edtech,Internet software & services,15
102,Edtech,Mobile & telecommunications,11
103,Edtech,Other,14
