,source,target
0,North Bridge Growth Equity,KKR
1,North Bridge Growth Equity,ES Ventures
2,Comcast Ventures,Accel Partners
3,Comcast Ventures,Horizons Ventures
4,Comcast Ventures,New Enterprise Associates
5,Comcast Ventures,General Atlantic
6,Comcast Ventures,Sequoia Capital
7,Comcast Ventures,Propel Venture Partners
8,Comcast Ventures,Global Founders Capital
9,Comcast Ventures,Forerunner Ventures
10,ENIAC Ventures,Andreessen Horowitz
11,ENIAC Ventures,General Catalyst Partners
12,German Media Pool,Seven Venture Capital
13,First Round Capital,Index Ventures
14,First Round Capital,BoxGroup
15,First Round Capital,Bloomberg Beta
16,First Round Capital,Felicis Ventures
17,First Round Capital,Sequoia Capital
18,First Round Capital,Founders Fund
19,First Round Capital,next47
20,First Round Capital,Atlos Ventures
21,Highland Europe,Spark Capital
22,Highland Europe,Sunstone Capital
23,OpenView Venture Partners,Trinity Ventures
24,OpenView Venture Partners,Fifth Wall Ventures
25,Mountain Nazca,DST Global
26,Mountain Nazca,SoftBank Group
27,Scentan Ventures,Notion Capital
28,Scentan Ventures,Kite Ventures
29,Valiant Capital Partners,SAIF Partners India
30,Valiant Capital Partners,SoftBank Group
31,Global Founders Capital,Aglae Ventures
32,Global Founders Capital,Expedia Inc.
33,Global Founders Capital,Alven Capital
34,Global Founders Capital,East Ventures
35,Global Founders Capital,Forerunner Ventures
36,Horizons Ventures,Khosla Ventures
37,Horizons Ventures,Temasek Holdings
38,Horizons Ventures,Propel Venture Partners
39,Horizons Ventures,Founders Fund
40,Quadrille Capital,New Enterprise Associates
41,Quadrille Capital,Global Bridge Capital
42,SF Holding Co,STO Express
43,SF Holding Co,Eastern Bell Capital
44,Sequoia Capital China,ZhenFund
45,Sequoia Capital China,Bank of China
46,Sequoia Capital China,Xiang He Capital
47,Sequoia Capital China,Shunwei Capital Partners
48,Sequoia Capital China,Blackbird Ventures
49,Sequoia Capital China,GX Capital
50,Sequoia Capital China,Tiger Global Management
51,Sequoia Capital China,Kleiner Perkins Caufield & Byers
52,Sequoia Capital China,Coatue Management
53,Sequoia Capital China,DCM Ventures
54,Sequoia Capital China,China Reform Fund
55,Sequoia Capital China,K2 Ventures
56,Sequoia Capital China,Sina Weibo
57,Sequoia Capital China,GGV Capital
58,Sequoia Capital China,Warburg Pincus
59,Sequoia Capital China,General Catalyst
60,Sequoia Capital China,Gopher Asset Management
61,Sequoia Capital China,Tencent Holdings
62,Sequoia Capital China,Legend Capital
63,Sequoia Capital China,Gaorong Capital
64,Sequoia Capital China,DST Global
65,Sequoia Capital China,SIG Asia Investments
66,Sequoia Capital China,CDH Investments
67,Sequoia Capital China,Redpoint Ventures
68,Sequoia Capital China,Trustbridge Partners
69,Sequoia Capital China,Rich Land Capital
70,Sequoia Capital China,Merrysunny Wealth
71,Sequoia Capital China,Banyan Capital
72,Sequoia Capital China,58.com
73,Sequoia Capital China,Goldman Sachs
74,Sequoia Capital China,Matrix Partners China
75,Sequoia Capital China,IDG Capital
76,Sequoia Capital China,Qianhai Fund of Funds
77,Sequoia Capital China,Matrix Partners
78,Sequoia Capital China,Shanghai Electric Group
79,Sequoia Capital China,Hillhouse Capital Management
80,Sequoia Capital China,Qiming Venture Partners
81,Sequoia Capital China,Shenzhen Capital Group
82,Sequoia Capital China,Softbank Group
83,Sequoia Capital China,InnoVision Capital
84,Sequoia Capital China,Alibaba Entrepreneurs Fund
85,Sequoia Capital China,China Construction Bank
86,Sequoia Capital China,ING
87,Sequoia Capital China,Sinovation Ventures
88,Aviation Industry Corporation of China,Jiangsu Sha Steel Group
89,Aviation Industry Corporation of China,Essence Financial
90,Aviation Industry Corporation of China,Warburg Pincus
91,GSO Capital Partners,Franklin Square
92,Morningside Venture Capital,Bertelsmann Asia Investments
93,Morningside Venture Capital,Linear Venture
94,Morningside Venture Capital,IDG Capital
95,Morningside Venture Capital,GGV Capital
96,Morningside Venture Capital,Hillhouse Capital Management
97,Morningside Venture Capital,Baidu
98,Morningside Venture Capital,Sequoia Capital
99,Morningside Venture Capital,DCM Ventures
100,Citi Ventures,Susquehanna Growth Equity
101,Citi Ventures,ICONIQ Capital
102,DFJ Growth Fund,Foundry Group
103,DFJ Growth Fund,Pitango Venture Capital
104,Volkswagen,Access Industries
105,Volkswagen,Vostok New Ventures
106,SAIF Partners India,Warburg Pincus
107,SAIF Partners India,Trifecta Capital Advisors
