,Degree Centrality,Betweenness Centrality,Eigen Centrality,Closeness Centrality,Page Rank,In-degree Centrality,Out-degree Centrality,Elongation,Expansion,Teacher Disciple Degree,Colleague Degree,Unidirect Density,Bidirect Density,Valuation($B) flaot_x,Valuation($B) flaot_y
Degree Centrality,1.0,0.6333831101605242,-0.004593500889513054,0.33173748424905525,0.1725888206821631,0.6926677637695136,0.7203413970052592,0.3072565983360523,0.32026431398932564,,,0.9999999999999989,,0.12300078999615696,0.12300078999615696
Betweenness Centrality,0.6333831101605242,1.0,-0.03058561818263131,0.17084006788509787,-0.03463521529550961,0.3968614485209995,0.4965105972290197,0.2655046370883366,0.17430587631533495,,,0.6333831101605233,,0.05881327006584717,0.05881327006584717
Eigen Centrality,-0.004593500889513054,-0.03058561818263131,1.0,0.12321976027900126,0.4787067706878482,0.04839108111727234,-0.052905572007951235,-0.0860878958134728,-0.050707406047542536,,,-0.004593500889513058,,-0.014007799370876386,-0.014007799370876386
Closeness Centrality,0.33173748424905525,0.17084006788509787,0.12321976027900126,1.0,0.6344969398113413,0.784400775222921,-0.29440086615046646,-0.4121502460566489,-0.56943995745241,,,0.33173748424905497,,-0.14388790325718606,-0.14388790325718606
Page Rank,0.1725888206821631,-0.03463521529550961,0.4787067706878482,0.6344969398113413,1.0,0.5241760392507034,-0.2648018724489857,-0.37932376265963924,-0.33403088123974706,,,0.17258882068216308,,-0.07715787628034633,-0.07715787628034633
In-degree Centrality,0.6926677637695136,0.3968614485209995,0.04839108111727234,0.784400775222921,0.5241760392507034,1.0,-0.001320650855133969,-0.12100537012436466,-0.3043545243777567,,,0.6926677637695137,,-0.06392217715639582,-0.06392217715639582
Out-degree Centrality,0.7203413970052592,0.4965105972290197,-0.052905572007951235,-0.29440086615046646,-0.2648018724489857,-0.001320650855133969,1.0,0.5423699830933261,0.7367283417808071,,,0.7203413970052588,,0.23200940874298626,0.23200940874298626
Elongation,0.3072565983360523,0.2655046370883366,-0.0860878958134728,-0.4121502460566489,-0.37932376265963924,-0.12100537012436466,0.5423699830933261,1.0,0.6686845646926756,,,0.30725659833605184,,0.10251934761675907,0.10251934761675907
Expansion,0.32026431398932564,0.17430587631533495,-0.050707406047542536,-0.56943995745241,-0.33403088123974706,-0.3043545243777567,0.7367283417808071,0.6686845646926756,1.0,,,0.3202643139893251,,0.2517083598860559,0.2517083598860559
Teacher Disciple Degree,,,,,,,,,,,,,,,
Colleague Degree,,,,,,,,,,,,,,,
Unidirect Density,0.9999999999999989,0.6333831101605233,-0.004593500889513058,0.33173748424905497,0.17258882068216308,0.6926677637695137,0.7203413970052588,0.30725659833605184,0.3202643139893251,,,1.0,,0.12300078999615692,0.12300078999615692
Bidirect Density,,,,,,,,,,,,,,,
Valuation($B) flaot_x,0.12300078999615696,0.05881327006584717,-0.014007799370876386,-0.14388790325718606,-0.07715787628034633,-0.06392217715639582,0.23200940874298626,0.10251934761675907,0.2517083598860559,,,0.12300078999615692,,1.0,1.0
Valuation($B) flaot_y,0.12300078999615696,0.05881327006584717,-0.014007799370876386,-0.14388790325718606,-0.07715787628034633,-0.06392217715639582,0.23200940874298626,0.10251934761675907,0.2517083598860559,,,0.12300078999615692,,1.0,1.0
