,Degree Centrality,Betweenness Centrality,Eigen Centrality,Closeness Centrality,Page Rank,In-degree Centrality,Out-degree Centrality,Elongation,Expansion,Teacher Disciple Degree,Colleague Degree,Unidirect Density,Bidirect Density
Australia,0.5833333333333333,0.00973731884057971,0.10635251254217634,0.45937500000000003,0.013514255657205876,0.16666666666666666,0.41666666666666663,3,22,0.7272727272727273,0.2727272727272727,0.16,0.06
China,1.4583333333333333,0.1170512709914884,0.36283985726959717,0.7067307692307693,0.20831510171865475,0.7083333333333333,0.75,2,22,0.25,0.75,0.1,0.3
Colombia,0.6666666666666666,0.002030135725787899,0.22917729663133193,0.5404411764705883,0.01649448321755512,0.375,0.29166666666666663,3,22,0.4,0.6,0.08,0.12
France,0.875,0.01798510466988728,0.22922307425017738,0.5927419354838709,0.018196883766880383,0.4583333333333333,0.41666666666666663,3,22,0.6,0.4,0.18,0.12
Hong Kong,0.5416666666666666,0.003623188405797101,0.23238988843221048,0.5404411764705883,0.019954707739415673,0.41666666666666663,0.125,3,22,0.8181818181818182,0.18181818181818182,0.18,0.04
India,1.25,0.05435501495284104,0.32713704893673423,0.65625,0.05127219459310059,0.625,0.625,2,22,0.42105263157894735,0.5789473684210527,0.16,0.22
Mexico,0.3333333333333333,0.0,0.21234991645030385,0.5601851851851852,0.014305217181453606,0.3333333333333333,0.0,0,0,1.0,0.0,0.16,0.0
South Korea,0.875,0.012288647342995168,0.22201270601175455,0.525,0.0206336290222046,0.375,0.5,3,22,0.5,0.5,0.14,0.14
United Kingdom,1.0833333333333333,0.029063146997929605,0.3013415658286469,0.6336206896551724,0.03256313428323845,0.5833333333333333,0.5,3,22,0.47058823529411764,0.5294117647058824,0.16,0.18
United States,1.75,0.2863900391074304,0.36969018252482794,0.7989130434782609,0.4299338958499185,0.8333333333333333,0.9166666666666666,2,22,0.25,0.75,0.12,0.36
Brazil,0.75,0.003358638141246837,0.2595283223345312,0.5568181818181818,0.022246911372259835,0.41666666666666663,0.3333333333333333,3,22,0.5,0.5,0.12,0.12
Canada,0.041666666666666664,0.0,8.109250437317166e-12,0.0,0.006985706896791997,0.0,0.041666666666666664,3,23,1.0,0.0,0.02,0.0
Germany,0.75,0.045261818495514146,0.18289387578620525,0.5404411764705883,0.024260153939702392,0.375,0.375,3,22,0.7142857142857143,0.2857142857142857,0.2,0.08
Indonesia,0.41666666666666663,0.03804347826086957,0.11679576740792515,0.45937500000000003,0.009947951738099868,0.16666666666666666,0.25,2,22,0.5714285714285714,0.42857142857142855,0.08,0.06
Israel,0.7083333333333333,0.005228462157809983,0.1919369635653766,0.5104166666666667,0.01212887217096624,0.3333333333333333,0.375,3,22,0.5833333333333334,0.4166666666666667,0.14,0.1
Japan,0.5416666666666666,0.0023852657004830914,0.15153697480686718,0.4966216216216216,0.014078831733949476,0.25,0.29166666666666663,3,22,0.5555555555555556,0.4444444444444444,0.1,0.08
Portugal,0.20833333333333331,0.0,0.12539661290037615,0.47115384615384615,0.008419986872299424,0.16666666666666666,0.041666666666666664,3,22,0.75,0.25,0.06,0.02
Singapore,0.16666666666666666,0.0,0.07272343591974399,0.4481707317073171,0.009481732960029177,0.08333333333333333,0.08333333333333333,3,22,0.0,1.0,0.0,0.04
Sweden,0.75,0.008323268921095008,0.20802521889806252,0.525,0.0151623274381803,0.3333333333333333,0.41666666666666663,3,22,0.6153846153846154,0.38461538461538464,0.16,0.1
Lithuania,0.41666666666666663,0.0015398550724637682,0.13928703926839817,0.5104166666666667,0.009872081681166827,0.29166666666666663,0.125,3,22,0.5714285714285714,0.42857142857142855,0.08,0.06
Switzerland,0.4583333333333333,0.0010165056360708536,0.09121959415291102,0.4481707317073171,0.007852486449592992,0.125,0.3333333333333333,3,22,0.9,0.1,0.18,0.02
Philippines,0.041666666666666664,0.0,0.011595138436726785,0.32526881720430106,0.007514188082631944,0.041666666666666664,0.0,0,0,1.0,0.0,0.02,0.0
Netherlands,0.3333333333333333,0.0,0.03670188557570461,0.4273255813953488,0.0075442143569912695,0.041666666666666664,0.29166666666666663,3,22,0.8571428571428571,0.14285714285714285,0.12,0.02
Spain,0.125,0.0,8.303872447812778e-09,0.0,0.012149175227519004,0.041666666666666664,0.08333333333333333,4,23,1.0,0.0,0.06,0.0
Uruguay,0.041666666666666664,0.0,0.03670188557570461,0.44814814814814813,0.007171876050191754,0.041666666666666664,0.0,0,0,1.0,0.0,0.02,0.0
