,Degree Centrality,Betweenness Centrality,Eigen Centrality,Closeness Centrality,Page Rank,In-degree Centrality,Out-degree Centrality,Elongation,Expansion,Teacher Disciple Degree,Colleague Degree,Unidirect Density,Bidirect Density,Total valuation($B),Valuation count,Mean valuation($B),#countries,#industries,#unicorns
Degree Centrality,1.0,0.7795379547554369,-0.014058014806657488,0.21863313271527612,0.16970368562473997,0.6499994454077521,0.9534180530498486,0.5606766292196375,0.5756458523933461,,,0.9999999999999818,,0.7103266158027316,0.989323716942486,0.05518518308426326,0.7629805817177397,0.9542945668808736,0.989323716942486
Betweenness Centrality,0.7795379547554369,1.0,-0.009483665311475873,0.19078966839428524,0.2158047739486167,0.5644893945777986,0.7202860552479915,0.4171247339482391,0.3980173322389615,,,0.7795379547554719,,0.6251134884606577,0.7818060248910461,0.03182915588087786,0.5285998259575715,0.6805071453306468,0.7818060248910461
Eigen Centrality,-0.014058014806657488,-0.009483665311475873,1.0,0.07536218744828994,0.12714840213483655,0.006582132544427079,-0.01964307211109012,-0.028718089702241854,-0.01453573629083824,,,-0.014058014806657467,,-0.012046327197593557,-0.014520518197995458,-0.006716074362039598,-0.013830509066042647,-0.01616371610717991,-0.014520518197995458
Closeness Centrality,0.21863313271527612,0.19078966839428524,0.07536218744828994,1.0,0.32435961761414583,0.5897743874016856,0.030751272631276968,-0.1234599544993398,-0.14411266065067013,,,0.21863313271527773,,0.08594063323892956,0.19451664099175928,0.00786863328690369,0.17655304134296787,0.190892031918527,0.19451664099175928
Page Rank,0.16970368562473997,0.2158047739486167,0.12714840213483655,0.32435961761414583,1.0,0.549215950368492,-0.012423962061043086,-0.19396091777112873,-0.10431875238438083,,,0.16970368562473995,,0.09114017232923244,0.1549672945063929,-0.008273981730560756,0.10816775988821288,0.13139382725702003,0.1549672945063929
In-degree Centrality,0.6499994454077521,0.5644893945777986,0.006582132544427079,0.5897743874016856,0.549215950368492,1.0,0.3904852794115016,0.13801793400119725,0.08957205427312258,,,0.6499994454077626,,0.39844852548002385,0.624384103968832,0.06903113490470195,0.49563524331220926,0.5963227253669611,0.624384103968832
Out-degree Centrality,0.9534180530498486,0.7202860552479915,-0.01964307211109012,0.030751272631276968,-0.012423962061043086,0.3904852794115016,1.0,0.6244360897838229,0.661800626912269,,,0.9534180530498553,,0.7023502911128321,0.950652339786305,0.03945154303589514,0.727559223620654,0.9193557266015081,0.950652339786305
Elongation,0.5606766292196375,0.4171247339482391,-0.028718089702241854,-0.1234599544993398,-0.19396091777112873,0.13801793400119725,0.6244360897838229,1.0,0.8108440632340312,,,0.5606766292196285,,0.40035198366459535,0.5564137330768946,0.0451199942096978,0.43736116509397915,0.591764455726018,0.5564137330768946
Expansion,0.5756458523933461,0.3980173322389615,-0.01453573629083824,-0.14411266065067013,-0.10431875238438083,0.08957205427312258,0.661800626912269,0.8108440632340312,1.0,,,0.5756458523933539,,0.4896864358135894,0.5734633135468585,0.08484562485053498,0.4145638717510157,0.5940084534685611,0.5734633135468585
Teacher Disciple Degree,,,,,,,,,,,,,,,,,,,
Colleague Degree,,,,,,,,,,,,,,,,,,,
Unidirect Density,0.9999999999999818,0.7795379547554719,-0.014058014806657467,0.21863313271527773,0.16970368562473995,0.6499994454077626,0.9534180530498553,0.5606766292196285,0.5756458523933539,,,1.0,,0.7103266158027322,0.9893237169424791,0.05518518308426357,0.7629805817177466,0.9542945668809132,0.9893237169424791
Bidirect Density,,,,,,,,,,,,,,,,,,,
Total valuation($B),0.7103266158027316,0.6251134884606577,-0.012046327197593557,0.08594063323892956,0.09114017232923244,0.39844852548002385,0.7023502911128321,0.40035198366459535,0.4896864358135894,,,0.7103266158027322,,1.0,0.7115027879723101,0.5475801341250367,0.5071496529921973,0.6635042166497332,0.7115027879723101
Valuation count,0.989323716942486,0.7818060248910461,-0.014520518197995458,0.19451664099175928,0.1549672945063929,0.624384103968832,0.950652339786305,0.5564137330768946,0.5734633135468585,,,0.9893237169424791,,0.7115027879723101,1.0,0.04126697901665145,0.7824861183823674,0.9526920729254186,1.0
Mean valuation($B),0.05518518308426326,0.03182915588087786,-0.006716074362039598,0.00786863328690369,-0.008273981730560756,0.06903113490470195,0.03945154303589514,0.0451199942096978,0.08484562485053498,,,0.05518518308426357,,0.5475801341250367,0.04126697901665145,1.0,0.03403561522356962,0.04885951316112456,0.04126697901665145
#countries,0.7629805817177397,0.5285998259575715,-0.013830509066042647,0.17655304134296787,0.10816775988821288,0.49563524331220926,0.727559223620654,0.43736116509397915,0.4145638717510157,,,0.7629805817177466,,0.5071496529921973,0.7824861183823674,0.03403561522356962,1.0,0.7685148900315276,0.7824861183823674
#industries,0.9542945668808736,0.6805071453306468,-0.01616371610717991,0.190892031918527,0.13139382725702003,0.5963227253669611,0.9193557266015081,0.591764455726018,0.5940084534685611,,,0.9542945668809132,,0.6635042166497332,0.9526920729254186,0.04885951316112456,0.7685148900315276,1.0,0.9526920729254186
#unicorns,0.989323716942486,0.7818060248910461,-0.014520518197995458,0.19451664099175928,0.1549672945063929,0.624384103968832,0.950652339786305,0.5564137330768946,0.5734633135468585,,,0.9893237169424791,,0.7115027879723101,1.0,0.04126697901665145,0.7824861183823674,0.9526920729254186,1.0
