,Degree Centrality,Betweenness Centrality,Eigen Centrality,Closeness Centrality,Page Rank,In-degree Centrality,Out-degree Centrality,Elongation,Expansion,Teacher Disciple Degree,Colleague Degree,Unidirect Density,Bidirect Density,Total valuation($B),Valuation count,Mean valuation($B),#countries,#industries,#unicorns
Degree Centrality,1.0,0.8372118583284143,-0.014857411064419011,0.21744819497953619,0.13217611582659597,0.6630175280202867,0.9574008883692343,0.5786925460459812,0.5827099914979496,,,0.9999999999999992,,0.7103266158027346,0.9893237169424821,0.0551851830842635,0.7629805817177389,0.9542945668808961,0.9893237169424821
Betweenness Centrality,0.8372118583284143,1.0,-0.011283127715226056,0.23713259715730547,0.17468317968680722,0.6510635158234178,0.7645256239411616,0.46634283459161985,0.4156527544501298,,,0.8372118583284145,,0.6502184807156096,0.8344331496467335,0.03746382146587046,0.5808890751760926,0.7446984552693108,0.8344331496467335
Eigen Centrality,-0.014857411064419011,-0.011283127715226056,1.0,0.07483026300893297,0.12202873894916903,0.007310596214336866,-0.020844205843027278,-0.029918230547189013,-0.015659993939566973,,,-0.01485741106441901,,-0.012861916495216808,-0.015499883954650007,-0.007383135995322021,-0.014652322963524238,-0.017384127742624902,-0.015499883954650007
Closeness Centrality,0.21744819497953619,0.23713259715730547,0.07483026300893297,1.0,0.2944721447993316,0.576852850346129,0.04128530034511416,-0.0749896172138497,-0.13634078609838865,,,0.21744819497953588,,0.08257576782186046,0.19165123184951174,0.00032917524837970354,0.18520990290418993,0.19248569389267467,0.19165123184951174
Page Rank,0.13217611582659597,0.17468317968680722,0.12202873894916903,0.2944721447993316,1.0,0.5084083404739572,-0.03576108567959783,-0.199823722204107,-0.11286710643783558,,,0.13217611582659577,,0.0658212220423412,0.1136158465534895,-0.010606026541413384,0.09624730846811072,0.09750692116685333,0.1136158465534895
In-degree Centrality,0.6630175280202867,0.6510635158234178,0.007310596214336866,0.576852850346129,0.5084083404739572,1.0,0.4186051589512846,0.21144936935942815,0.11843826354160379,,,0.6630175280202867,,0.4089374504516138,0.637765432059771,0.0520224702729401,0.5119048130493924,0.60929073709303,0.637765432059771
Out-degree Centrality,0.9574008883692343,0.7645256239411616,-0.020844205843027278,0.04128530034511416,-0.03576108567959783,0.4186051589512846,1.0,0.6204772674615006,0.6612285890423354,,,0.9574008883692342,,0.7039911616533634,0.9541895578956855,0.04688102786010155,0.7281502600795143,0.9226776281044536,0.9541895578956855
Elongation,0.5786925460459812,0.46634283459161985,-0.029918230547189013,-0.0749896172138497,-0.199823722204107,0.21144936935942815,0.6204772674615006,1.0,0.7739926907054313,,,0.578692546045981,,0.4376549516406395,0.5758099333209481,0.13380513270009106,0.4548292894758326,0.615171119582843,0.5758099333209481
Expansion,0.5827099914979496,0.4156527544501298,-0.015659993939566973,-0.13634078609838865,-0.11286710643783558,0.11843826354160379,0.6612285890423354,0.7739926907054313,1.0,,,0.5827099914979483,,0.5467724835545074,0.583730347672156,0.2187227481134785,0.4168098653009009,0.6003922754025187,0.583730347672156
Teacher Disciple Degree,,,,,,,,,,,,,,,,,,,
Colleague Degree,,,,,,,,,,,,,,,,,,,
Unidirect Density,0.9999999999999992,0.8372118583284145,-0.01485741106441901,0.21744819497953588,0.13217611582659577,0.6630175280202867,0.9574008883692342,0.578692546045981,0.5827099914979483,,,1.0,,0.7103266158027354,0.989323716942482,0.05518518308426351,0.7629805817177377,0.9542945668808954,0.989323716942482
Bidirect Density,,,,,,,,,,,,,,,,,,,
Total valuation($B),0.7103266158027346,0.6502184807156096,-0.012861916495216808,0.08257576782186046,0.0658212220423412,0.4089374504516138,0.7039911616533634,0.4376549516406395,0.5467724835545074,,,0.7103266158027354,,1.0,0.7115027879723196,0.547580134125038,0.5071496529921959,0.6635042166497287,0.7115027879723196
Valuation count,0.9893237169424821,0.8344331496467335,-0.015499883954650007,0.19165123184951174,0.1136158465534895,0.637765432059771,0.9541895578956855,0.5758099333209481,0.583730347672156,,,0.989323716942482,,0.7115027879723196,1.0,0.041266979016651766,0.782486118382376,0.9526920729254212,1.0
Mean valuation($B),0.0551851830842635,0.03746382146587046,-0.007383135995322021,0.00032917524837970354,-0.010606026541413384,0.0520224702729401,0.04688102786010155,0.13380513270009106,0.2187227481134785,,,0.05518518308426351,,0.547580134125038,0.041266979016651766,1.0,0.03403561522356934,0.04885951316112467,0.04126697901665178
#countries,0.7629805817177389,0.5808890751760926,-0.014652322963524238,0.18520990290418993,0.09624730846811072,0.5119048130493924,0.7281502600795143,0.4548292894758326,0.4168098653009009,,,0.7629805817177377,,0.5071496529921959,0.782486118382376,0.03403561522356934,1.0,0.7685148900315075,0.782486118382376
#industries,0.9542945668808961,0.7446984552693108,-0.017384127742624902,0.19248569389267467,0.09750692116685333,0.60929073709303,0.9226776281044536,0.615171119582843,0.6003922754025187,,,0.9542945668808954,,0.6635042166497287,0.9526920729254212,0.04885951316112467,0.7685148900315075,1.0,0.9526920729254212
#unicorns,0.9893237169424821,0.8344331496467335,-0.015499883954650007,0.19165123184951174,0.1136158465534895,0.637765432059771,0.9541895578956855,0.5758099333209481,0.583730347672156,,,0.989323716942482,,0.7115027879723196,1.0,0.04126697901665178,0.782486118382376,0.9526920729254212,1.0
