,Company,Degree Centrality,Betweenness Centrality,Eigen Centrality,Closeness Centrality,Page Rank,Valuation ($B) ,Date Added,Country,Category,Select Investors,Valuation($B) flaot,DateTime Joined
0,FiveTran,0.07807807807807808,0.005286202155822784,0.036540813462678685,0.38117104326285584,0.00220915180866139,$5.60 ,2020/6/30,United States,Data management & analytics,"['Matrix Partners', ' Andreessen Horowitz', ' General Catalyst']",5.6,2020-06-30
1,Virta Health,0.014014014014014014,0.00030196094234938097,0.003788652268276784,0.30670769779680673,0.0006319358252219915,$2.00 ,2020/12/2,United States,Health,"['Caffeinated Capital', ' Obvious Ventures', ' Venrock']",2.0,2020-12-02
2,Cohesity,0.07307307307307308,0.003556723109738784,0.04648979210742879,0.36626394470869233,0.0020160649221179576,$3.70 ,2018/6/11,United States,Data management & analytics,"['SoftBank Group', ' Sequoia Capital', ' Wing Venture Capital']",3.7,2018-06-11
3,Monzo,0.017017017017017015,0.0024207636611078484,0.005738554343991017,0.31547763980196414,0.0008402905490483334,$4.50 ,2018/10/31,United Kingdom,Fintech,"['Passion Capital', ' Thrive Capital', ' Orange Digital Ventures']",4.5,2018-10-31
4,Carzone,0.009009009009009009,0.0,0.00020873113075541223,0.25431462406517663,0.0007643115862046575,$1.52 ,2019/3/1,China,E-commerce & direct-to-consumer,"['Alibaba Group', 'Co-Stone Venture Capital', ' Buhuo Venture Capital']",1.52,2019-03-01
5,PLACE,0.003003003003003003,0.001797388570935665,3.4252647030814643e-06,0.19852462765945633,0.0007870174024019189,$1.00 ,2021/11/17,United States,Internet software & services,"['Goldman Sachs Asset Management', ' 3L']",1.0,2021-11-17
6,Cell C,0.0,0.0,1.6061835351655795e-59,0.0,0.0001624255549540131,$1.00 ,2017/8/7,South Africa,Mobile & telecommunications,"['Blue Label Telecoms', ' Net1 UEPS Technologies']",1.0,2017-08-07
7,Pentera,0.04604604604604605,0.004556517766202117,0.032935606640583696,0.3543398215637547,0.0014651646351464475,$1.00 ,2022/1/11,Israel,Cybersecurity,"['AWZ Ventures', ' Blackstone', ' Insight Partners']",1.0,2022-01-11
8,Chipper Cash,0.003003003003003003,0.0035907651138112062,0.0007709012636863055,0.26073629472787774,0.0007503076631860468,$2.00 ,2021/6/1,United States,Fintech,"['Deciens Capital', ' Bezos Expeditions', ' 500 Startups']",2.0,2021-06-01
9,GO1,0.023023023023023025,0.0010599980418319868,0.017924243931094052,0.3321296554286245,0.0008247479984822302,$1.00 ,2021/7/19,Australia,Internet software & services,"['Y Combinator', ' M12', ' SEEK']",1.0,2021-07-19
10,Flink,0.008008008008008008,0.0005493236826303385,0.0032743978931945176,0.30358628511662816,0.0005328068830966902,$2.85 ,2021/12/1,Germany,E-commerce & direct-to-consumer,"['Mubadala Capital', ' Bond', ' Prosus Ventures']",2.85,2021-12-01
11,Odoo,0.006006006006006006,0.0,0.0036458087833059817,0.2779207779207779,0.00038854539717332284,$2.30 ,2021/7/29,Belgium,Internet software & services,"['Summit Partners', ' Noshaq', ' Sofinnova Partners']",2.3,2021-07-29
12,Zopa,0.006006006006006006,0.0,0.0018148895038963807,0.26713579250892683,0.0005583888447627919,$1.00 ,2021/10/19,United Kingdom,Fintech,"['IAG Capital Partners', ' Augmentum Fintech', ' Northzone Ventures']",1.0,2021-10-19
13,Sennder,0.003003003003003003,0.0,0.0005243491349841729,0.2694594896000048,0.00030475445444589613,$1.10 ,2021/1/14,Germany,"Supply chain, logistics, & delivery","['Accelm Scania Growth Capital', ' Lakestar']",1.1,2021-01-14
14,SmartMore,0.06506506506506507,0.0018176841472853653,0.010546697388564574,0.33955076493019154,0.002026855086979229,$1.20 ,2021/6/24,China,Artificial Intelligence,"['IDG Capital', ' ZhenFund', ' Sequoia Capital China']",1.2,2021-06-24
