,Degree Centrality,Betweenness Centrality,Eigen Centrality,Closeness Centrality,Page Rank,In-degree Centrality,Out-degree Centrality,Elongation,Expansion,Teacher Disciple Degree,Colleague Degree,Unidirect Density,Bidirect Density,Valuation($B) flaot_x,Valuation($B) flaot_y
Degree Centrality,1.0,0.6316823972717086,-0.004593500889556234,0.3328779217570499,0.1737891430960769,0.6930189563673407,0.719868803080536,0.2946893104336944,0.3191526621147777,,,0.9999999999999987,,0.12300078999615716,0.12300078999615716
Betweenness Centrality,0.6316823972717086,1.0,-0.030665408995878326,0.17041682390335863,-0.03404876592788032,0.3954002820359838,0.49552049894322797,0.26113280328958394,0.17261985673482086,,,0.6316823972717093,,0.05862941375501769,0.05862941375501769
Eigen Centrality,-0.004593500889556234,-0.030665408995878326,1.0,0.12310528489355842,0.4786785927081143,0.04835687411803511,-0.05293032064731567,-0.08651917916109231,-0.05081290754831677,,,-0.0045935008895562224,,-0.014007799370934562,-0.014007799370934562
Closeness Centrality,0.3328779217570499,0.17041682390335863,0.12310528489355842,1.0,0.6351934216767098,0.7850045969338235,-0.2940718938960331,-0.41814472553129095,-0.5704143056503619,,,0.33287792175705017,,-0.14362083817270596,-0.14362083817270596
Page Rank,0.1737891430960769,-0.03404876592788032,0.4786785927081143,0.6351934216767098,1.0,0.5256473341749768,-0.26503409211481155,-0.381770409980019,-0.3351634033757467,,,0.17378914309607688,,-0.07729976032051306,-0.07729976032051306
In-degree Centrality,0.6930189563673407,0.3954002820359838,0.04835687411803511,0.7850045969338235,0.5256473341749768,1.0,-0.0015147228006441413,-0.1287464062098173,-0.30559933802555045,,,0.6930189563673411,,-0.0638089786356775,-0.0638089786356775
Out-degree Centrality,0.719868803080536,0.49552049894322797,-0.05293032064731567,-0.2940718938960331,-0.26503409211481155,-0.0015147228006441413,1.0,0.5327269326371286,0.7369366504356858,,,0.7198688030805356,,0.2320524565994303,0.2320524565994303
Elongation,0.2946893104336944,0.26113280328958394,-0.08651917916109231,-0.41814472553129095,-0.381770409980019,-0.1287464062098173,0.5327269326371286,1.0,0.6593908503954018,,,0.29468931043369406,,0.09933791218573086,0.09933791218573086
Expansion,0.3191526621147777,0.17261985673482086,-0.05081290754831677,-0.5704143056503619,-0.3351634033757467,-0.30559933802555045,0.7369366504356858,0.6593908503954018,1.0,,,0.31915266211477794,,0.2516674672183113,0.2516674672183113
Teacher Disciple Degree,,,,,,,,,,,,,,,
Colleague Degree,,,,,,,,,,,,,,,
Unidirect Density,0.9999999999999987,0.6316823972717093,-0.0045935008895562224,0.33287792175705017,0.17378914309607688,0.6930189563673411,0.7198688030805356,0.29468931043369406,0.31915266211477794,,,1.0,,0.12300078999615721,0.12300078999615721
Bidirect Density,,,,,,,,,,,,,,,
Valuation($B) flaot_x,0.12300078999615716,0.05862941375501769,-0.014007799370934562,-0.14362083817270596,-0.07729976032051306,-0.0638089786356775,0.2320524565994303,0.09933791218573086,0.2516674672183113,,,0.12300078999615721,,1.0,1.0
Valuation($B) flaot_y,0.12300078999615716,0.05862941375501769,-0.014007799370934562,-0.14362083817270596,-0.07729976032051306,-0.0638089786356775,0.2320524565994303,0.09933791218573086,0.2516674672183113,,,0.12300078999615721,,1.0,1.0
