,Degree Centrality,Betweenness Centrality,Eigen Centrality,Closeness Centrality,Page Rank,In-degree Centrality,Out-degree Centrality,Elongation,Expansion,Teacher Disciple Degree,Colleague Degree,Unidirect Density,Bidirect Density
Artificial intelligence,2.1333333333333333,0.015521423021423028,0.264115252154459,1.0,0.06838464104443967,1.0666666666666667,1.0666666666666667,1,15,0.11764705882352941,0.8823529411764706,0.0625,0.46875
Auto & transportation,2.0,0.001592851592851593,0.25830627018776897,0.9375,0.0629435556214653,1.0,1.0,2,15,0.125,0.875,0.0625,0.4375
Consumer & retail,1.8,0.0,0.22470027428296027,0.8333333333333334,0.023577780798612807,0.8666666666666667,0.9333333333333333,2,15,0.2,0.8,0.09375,0.375
Cybersecurity,1.8666666666666667,0.00036630036630036635,0.25830627018776897,0.9375,0.04436481855899365,1.0,0.8666666666666667,2,15,0.25,0.75,0.125,0.375
Data management & analytics,2.0666666666666664,0.00575951825951826,0.264115252154459,1.0,0.07329329267669567,1.0666666666666667,1.0,2,15,0.17647058823529413,0.8235294117647058,0.09375,0.4375
E-commerce & direct-to-consumer,2.0666666666666664,0.00575951825951826,0.264115252154459,1.0,0.11944192671941564,1.0666666666666667,1.0,2,15,0.17647058823529413,0.8235294117647058,0.09375,0.4375
Edtech,2.0,0.00492979242979243,0.24680781957277634,0.9375,0.05731437430809822,1.0,1.0,2,15,0.23529411764705882,0.7647058823529411,0.125,0.40625
Education,0.8666666666666667,0.0,0.08669631373237092,0.6,0.010804270776173472,0.3333333333333333,0.5333333333333333,2,15,0.7,0.3,0.21875,0.09375
Fintech,2.1333333333333333,0.015521423021423028,0.264115252154459,1.0,0.09106905614503352,1.0666666666666667,1.0666666666666667,1,15,0.11764705882352941,0.8823529411764706,0.0625,0.46875
Hardware,2.0,0.001592851592851593,0.25830627018776897,0.9375,0.03895150640399513,1.0,1.0,2,15,0.125,0.875,0.0625,0.4375
Health,2.1333333333333333,0.015521423021423028,0.264115252154459,1.0,0.05485775322357451,1.0666666666666667,1.0666666666666667,1,15,0.11764705882352941,0.8823529411764706,0.0625,0.46875
Internet software & services,2.0666666666666664,0.00575951825951826,0.264115252154459,1.0,0.15395880638145185,1.0666666666666667,1.0,2,15,0.17647058823529413,0.8235294117647058,0.09375,0.4375
Mobile & telecommunications,2.0666666666666664,0.00575951825951826,0.264115252154459,1.0,0.05591262128061644,1.0666666666666667,1.0,2,15,0.17647058823529413,0.8235294117647058,0.09375,0.4375
Other,2.0,0.001592851592851593,0.25830627018776897,0.9375,0.053130926625535535,1.0,1.0,2,15,0.125,0.875,0.0625,0.4375
"Supply chain, logistics, & delivery",2.0666666666666664,0.011354756354756357,0.25830627018776897,0.9375,0.06403332203716247,1.0,1.0666666666666667,1,15,0.17647058823529413,0.8235294117647058,0.09375,0.4375
Travel,1.9333333333333333,0.008968253968253967,0.2432503341914148,0.8823529411764706,0.027961347398735945,0.9333333333333333,1.0,2,15,0.1875,0.8125,0.09375,0.40625
