,Degree Centrality,Betweenness Centrality,Eigen Centrality,Closeness Centrality,Page Rank
SBI Investment Korea,0.002881844380403458,0.0,1.7774676510112385e-16,0.002881844380403458,0.001474926253687316
Didi Chuxing_,0.002881844380403458,0.0,1.7774676510112385e-16,0.002881844380403458,0.001474926253687316
Craft Ventures,0.002881844380403458,0.0,0.023510722051082438,0.1944291965905799,0.0007802984208836023
Technology Crossover Ventures,0.004322766570605187,0.0020958868221116057,0.017899660702000122,0.19139124039385205,0.0013089973140164874
Trinity Ventures,0.008645533141210374,0.005456535169470349,0.015357245320070805,0.19000578156990486,0.002209636512736729
Info Edge,0.001440922190201729,0.0,1.5838087838964918e-20,0.001440922190201729,0.0014749262536873158
Novator Partners,0.002881844380403458,0.0,1.7774676510112385e-16,0.002881844380403458,0.001474926253687316
8VC,0.004322766570605187,3.402898893338e-05,0.034443347050327665,0.20347241503665334,0.0009169432803671975
Capital Today,0.005763688760806916,0.0023770305529426344,0.017546613624838805,0.20124380150941729,0.0013620954353796946
T. Rowe Price,0.011527377521613832,0.006454360117208263,0.06896372500596576,0.2318430167546978,0.002414735095614966
Riverwood Capital,0.002881844380403458,0.0,1.7774676510112385e-16,0.002881844380403458,0.001474926253687316
Tokyo Century Corporation,0.002881844380403458,0.0,1.7774676510112385e-16,0.002881844380403458,0.001474926253687316
General Catalyst Partners,0.008645533141210374,0.0015821493878314333,0.06150711114790671,0.2200426236863449,0.0017705415722872305
Yunfeng Capital,0.002881844380403458,0.0,1.7774676510112385e-16,0.002881844380403458,0.001474926253687316
CDH Investments,0.007204610951008645,0.0009746368118660193,0.023484715353987377,0.20224060624997026,0.0016525147256134685
GCP Capital Partners,0.0,0.0,1.8880471991258762e-27,0.0,0.0002212389380530974
Volkswagen,0.002881844380403458,0.0,0.002339417976539318,0.15928529759696403,0.0009291503955874492
and Institutional Venture Partners,0.002881844380403458,0.0,1.7774676510112385e-16,0.002881844380403458,0.001474926253687316
Foxconn,0.002881844380403458,0.0,0.004899115656012645,0.1681790304605016,0.0008251264629517928
Illumina,0.002881844380403458,0.0,1.7774676510112385e-16,0.002881844380403458,0.001474926253687316
Eastern Bell Capital,0.002881844380403458,0.0,1.7774676510112385e-16,0.002881844380403458,0.001474926253687316
Loyal Valley Capital,0.002881844380403458,0.0,0.012810675787098545,0.1903009743947157,0.0007667065423696887
Andreessen Horowitz,0.050432276657060515,0.0738853425740286,0.24916620040912793,0.2767102270754488,0.009632429404651706
Astral Capital,0.002881844380403458,0.0,0.01544220483576558,0.1889311987435455,0.0007436238835410512
Level Equity,0.002881844380403458,0.0,1.7774676510112385e-16,0.002881844380403458,0.001474926253687316
Ignition Partners,0.002881844380403458,0.0,1.0628760828051467e-13,0.005187319884726225,0.001181643958751841
Tus Holdings,0.002881844380403458,0.0,0.011815528322667744,0.1889311987435455,0.0008487669406524788
Phoenix New Media,0.001440922190201729,0.0,1.5838087838964918e-20,0.001440922190201729,0.0014749262536873158
Walgreens Boots Alliance,0.002881844380403458,0.0,1.9863058700167136e-05,0.11118643920005929,0.0011315941417381287
Piton Capital,0.004322766570605187,0.0,0.01952685053817586,0.19391619079482636,0.0010187666357662683
Airbus Ventures,0.002881844380403458,0.0,0.017368841718944726,0.18990758736754312,0.0007513716545354103
M12,0.002881844380403458,0.0,0.002311562816944896,0.16018796057375587,0.0008119655554691712
Boyu Capital,0.005763688760806916,0.00833364522125329,0.005627677869569915,0.1790795231755341,0.001719360399146945
PremjiInvest,0.002881844380403458,0.0,1.7774676510112385e-16,0.002881844380403458,0.001474926253687316
