,source,target
0,Kefa Capital,Dark Horse Technology Group
1,Kefa Capital,Hopu Investment Management
2,SAIF Partners China,Green Pine Capital Partners
3,SAIF Partners China,R-Z Capital
4,SAIF Partners China,Baidu
5,SAIF Partners China,IDG Capital
6,NewSpring Holdings,Riverwood Capital
7,NewSpring Holdings,Level Equity
8,IDG Capital Partners,Banyan Capital
9,IDG Capital Partners,Warmsun Holding
10,IDG Capital Partners,New Horizon Capital
11,Sequoia Capital India,SoftBankGroup
12,Sequoia Capital India,SoftBank Group
13,Sequoia Capital India,Nexus Venture Partners
14,Sequoia Capital India,Lightspeed India Partners
15,Sequoia Capital India,Warburg Pincus
16,Sequoia Capital India,Alibaba Group
17,Sequoia Capital India,Tencent Holdings
18,Sequoia Capital India,Formation Group
19,Sequoia Capital India,Blume Ventures
20,Rho Ventures,Passport Capital
21,Rho Ventures,Matrix Partners
22,Grandland,Co-Energy Finance
23,Sequoia Capital China,Coatue Management
24,Sequoia Capital China,Alibaba Entrepreneurs Fund
25,Sequoia Capital China,ZhenFund
26,Sequoia Capital China,DCM Ventures
27,Sequoia Capital China,General Catalyst
28,Sequoia Capital China,Gopher Asset Management
29,Sequoia Capital China,Shunwei Capital Partners
30,Sequoia Capital China,58.com
31,Sequoia Capital China,ING
32,Sequoia Capital China,K2 Ventures
33,Sequoia Capital China,Matrix Partners
34,Sequoia Capital China,Banyan Capital
35,Sequoia Capital China,Kleiner Perkins Caufield & Byers
36,Sequoia Capital China,Hillhouse Capital Management
37,Sequoia Capital China,DST Global
38,Sequoia Capital China,Softbank Group
39,Sequoia Capital China,GX Capital
40,Sequoia Capital China,China Construction Bank
41,Sequoia Capital China,Shenzhen Capital Group
42,Sequoia Capital China,Matrix Partners China
43,Sequoia Capital China,SIG Asia Investments
44,Sequoia Capital China,Merrysunny Wealth
45,Sequoia Capital China,Gaorong Capital
46,Sequoia Capital China,Shanghai Electric Group
47,Sequoia Capital China,China Reform Fund
48,Sequoia Capital China,CDH Investments
49,Sequoia Capital China,Blackbird Ventures
50,Sequoia Capital China,Bank of China
51,Sequoia Capital China,InnoVision Capital
52,Sequoia Capital China,Redpoint Ventures
53,Sequoia Capital China,Warburg Pincus
54,Sequoia Capital China,Rich Land Capital
55,Sequoia Capital China,Xiang He Capital
56,Sequoia Capital China,Qiming Venture Partners
57,Sequoia Capital China,GGV Capital
58,Sequoia Capital China,IDG Capital
59,Sequoia Capital China,Qianhai Fund of Funds
60,Sequoia Capital China,Tencent Holdings
61,Sequoia Capital China,Sina Weibo
62,Sequoia Capital China,Sinovation Ventures
63,Sequoia Capital China,Tiger Global Management
64,Sequoia Capital China,Legend Capital
65,Sequoia Capital China,Trustbridge Partners
66,Sequoia Capital China,Goldman Sachs
67,Seedcamp,Accel
68,Seedcamp,capitalG
69,Seedcamp,OMERS Ventures
70,Seedcamp,Earlybrid Venture Capital
71,Seedcamp,Salesforce Ventures
72,Orient Hontai Capital,Webb Investment Network
73,SF Holding Co,Eastern Bell Capital
74,SF Holding Co,STO Express
75,ClalTech,Insight Partners
76,ClalTech,Viola Ventures
77,ClalTech,Goldman Sachs
78,Charlotte Angel Partners,TPG Growth
79,Charlotte Angel Partners,Temasek Holdings
80,Propel Venture Partners,Comcast Ventures
81,Propel Venture Partners,Horizons Ventures
82,York Capital Management,Koch Disruptive Technologies
83,York Capital Management,GE Healthcare
84,BoxGroup,Felicis Ventures
85,BoxGroup,First Round Capital
86,BoxGroup,Formation8
87,BoxGroup,Khosla Ventures
88,Deerfield Management,Connecticut Innovations
89,Deerfield Management,Blackrock
90,RedBird Capital Partners,CJ ENM
91,RedBird Capital Partners,Tencent Holdings
92,Octopus Ventures,General Catalyst
93,Octopus Ventures,dmg ventures
94,Richland Equities,Founder H Fund
95,Richland Equities,U.S.-China Green Fund
96,Google,Spark Capital
97,Google,Goldman Sachs
98,Google,BNP Paribas
99,Google,Nintendo
100,Google,Pokemon Company International
101,Draper Fisher Jurtson,Qualcomm Ventures
102,Draper Fisher Jurtson,Alibaba Group
103,JAFCO Co,IDG Capital
104,JAFCO Co,Bitmain Technologies_
105,Viola Ventures,Dell Technologies Capital
106,Viola Ventures,Bain Capital Ventures
107,Viola Ventures,Insight Partners
108,Viola Ventures,Goldman Sachs
109,Russia-China Investment Fund,Foxconn Technology Company
110,Russia-China Investment Fund,Ant Financial Services Group
111,Ford Autonomous Vehicles,Volkswagen Group
112,Rakuten,Seaya Ventures
113,Rakuten,Otter Rock Capital
114,Qiming Venture Partners,Qualcomm Ventures
115,Qiming Venture Partners,CDH Investments
116,Qiming Venture Partners,Capital Today
117,Qiming Venture Partners,Goldstone Investments
118,Qiming Venture Partners,Far East Horizon
119,Qiming Venture Partners,Yaxia Automobile
120,Qiming Venture Partners,China Broadband Capital
121,Qiming Venture Partners,Tencent Holdings
122,Qiming Venture Partners,Sinovation Ventures
123,Qiming Venture Partners,China Internet Investment Fund
124,Qiming Venture Partners,General Atlantic
125,R-Z Capital,Green Pine Capital Partners
126,Sherpalo Ventures,Softbank Corp.
127,Sherpalo Ventures,Kleiner Perkins Caufield & Byers
128,Tencent Holdings,FAW Group
129,Tencent Holdings,DCM Ventures
130,Tencent Holdings,Smash Ventures
131,Tencent Holdings,KKR
132,Tencent Holdings,58.com
133,Tencent Holdings,Tus Holdings
134,Tencent Holdings,Baidu
135,Tencent Holdings,Source Code Capital
136,Tencent Holdings,Benchmark
137,Tencent Holdings,DST Global
138,Tencent Holdings,Meituan Dianping
139,Tencent Holdings,CJ ENM
140,Tencent Holdings,Walden Venture Capital
141,Tencent Holdings,Global Catalyst Partnera
142,Tencent Holdings,Stonebridge Capital
143,Tencent Holdings,Warbug Pincus
144,Tencent Holdings,Gaorong Capital
145,Tencent Holdings,Kaalari Capital
146,Tencent Holdings,Loyal Valley Capital
147,Tencent Holdings,Greylock Partners
148,Tencent Holdings,Steadview Capital
149,Tencent Holdings,Lightspeed India Partners
150,Tencent Holdings,IMM Investment
151,Tencent Holdings,IDG Capital
152,Tencent Holdings,Bertelsmann Asia Investments
153,Tencent Holdings,Sinovation Ventures
154,Tencent Holdings,Goldman Sachs
155,Collaborative Fund,Kleiner Perkins Caufield & Byers
156,Collaborative Fund,Khosla Ventures
157,Songhyun Investment,Bain Capital
